title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i,title_norm,author_norm,year,_year_bucket,_text,item_id,themes
Q24937567,Ben Kane,,,,,2014-01-01,,,wikidata,,,q24937567 | ben kane,,q24937567,ben kane,2014.0,05-14,"Q24937567 
Ben Kane 
",83,"['Parent-child relationships', 'Community solidarity', 'Generosity']"
Q130290748,Wangari Muta Maathai,,,,English,,,,wikidata,,,q130290748 | wangari muta maathai,,q130290748,wangari muta maathai,,,"Q130290748 
Wangari Muta Maathai 
",84,"['Morality and ethics', 'Community solidarity', 'Parent-child relationships']"
Wrestling with the Devil: A Prison Memoir,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2018-03-06,,,wikidata,,,wrestling with the devil: a prison memoir | ngugi wa thiong o,,wrestling with the devil a prison memoir,ngugi wa thiong o,2018.0,15-19,"Wrestling with the Devil: A Prison Memoir 
Ngũgĩ wa Thiong'o 
Amazon Kindle",85,"['Folklore and oral traditions', 'Poverty', 'Bad governance']"
Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures),Ngũgĩ wa Thiong'o,Columbia University Press,0-231-15951-X,978-0-231-15951-7,English,2014-05-20,,,wikidata,,978-0-231-15951-7,globalectics: theory and the politics of knowing (the wellek library lectures) | ngugi wa thiong o,,globalectics theory and the politics of knowing the wellek library lectures,ngugi wa thiong o,2014.0,05-14,"Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures) 
Ngũgĩ wa Thiong'o 
Columbia University Press",86,"['Climate and nature', 'Ignorance', 'Indigenous knowledge']"
Nairobi Heat,Mũkoma wa Ngũgĩ,,,,English,,,,wikidata,,,nairobi heat | mukoma wa ngugi,,nairobi heat,mukoma wa ngugi,,,"Nairobi Heat 
Mũkoma wa Ngũgĩ 
",87,"['Wealth and materialism', 'Environmental conservation', 'Religion and spirituality']"
WEAPON OF HUNGER,Meja Mwangi,Amazon Kindle,,,English,2013-08-04,,,wikidata,,,weapon of hunger | meja mwangi,,weapon of hunger,meja mwangi,2013.0,05-14,"WEAPON OF HUNGER 
Meja Mwangi 
Amazon Kindle",88,"['Wealth and materialism', 'Greed', 'Identity crisis']"
Sulwe,Lupita Nyong'o,Simon & Schuster,,,,2019-10-15,,,wikidata,,,sulwe | lupita nyong o,,sulwe,lupita nyong o,2019.0,15-19,"Sulwe 
Lupita Nyong'o 
Simon & Schuster",89,"['Language and identity', 'Greed', 'Power of language']"
Things they Lost,Okwiri Oduor,,,,English,2022-01-01,OL25480392W,,wikidata,,,things they lost | okwiri oduor,,things they lost,okwiri oduor,2022.0,2020+,"Things they Lost 
Okwiri Oduor 
",90,"['Poverty', 'Generosity', 'Greed']"
Dua ya Maarusi,Ahmad Nassir Juma Bhalo Sayyani,,,,Swahili,,,,wikidata,,,dua ya maarusi | ahmad nassir juma bhalo sayyani,,dua ya maarusi,ahmad nassir juma bhalo sayyani,,,"Dua ya Maarusi 
Ahmad Nassir Juma Bhalo Sayyani 
",91,"['Bad governance', 'Urban vs rural life', 'Post-independence struggles']"
The Trial of Christopher Okigbo,Ali Mazrui,,,,English,,,,wikidata,,,the trial of christopher okigbo | ali mazrui,,the trial of christopher okigbo,ali mazrui,,,"The Trial of Christopher Okigbo 
Ali Mazrui 
",92,"['Justice and injustice', 'Poverty', 'Bad governance']"
Mau Mau From Within: The Story of the Kenya Land and Freedom Army,Ngũgĩ wa Thiong'o,Daraja Press,1-988832-59-4,978-1-988832-59-3,English,2021-01-16,,,wikidata,,978-1-988832-59-3,mau mau from within: the story of the kenya land and freedom army | ngugi wa thiong o,,mau mau from within the story of the kenya land and freedom army,ngugi wa thiong o,2021.0,2020+,"Mau Mau From Within: The Story of the Kenya Land and Freedom Army 
Ngũgĩ wa Thiong'o 
Daraja Press",93,"['Wealth and materialism', 'Bad governance', 'Gender roles and feminism']"
Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment,Ngũgĩ wa Thiong'o,Africa World Press,,,English,2007-01-01,,,wikidata,,,ngugi wa thiong o s drama and the kamiriithu popular theater experiment | ngugi wa thiong o,,ngugi wa thiong o s drama and the kamiriithu popular theater experiment,ngugi wa thiong o,2007.0,05-14,"Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment 
Ngũgĩ wa Thiong'o 
Africa World Press",94,"['Wealth and materialism', 'Oppression', 'Power of language']"
Foundational African Writers,Simon Gikandi,Wits University Press,,,,2022-01-01,,,wikidata,,,foundational african writers | simon gikandi,,foundational african writers,simon gikandi,2022.0,2020+,"Foundational African Writers 
Simon Gikandi 
Wits University Press",95,"['Wealth and materialism', 'Storytelling as resistance', 'Ethnic diversity']"
Christmas Without Tusker,Meja Mwangi,,,,English,2017-07-05,OL40716351W,,wikidata,,,christmas without tusker | meja mwangi,,christmas without tusker,meja mwangi,2017.0,15-19,"Christmas Without Tusker 
Meja Mwangi 
",96,"['Conflict in families', 'Greed', 'Hope and despair']"
In the Name of the Mother: Reflections on Writers and Empire,Ngũgĩ wa Thiong'o,James Currey,,,English,2013-09-19,,,wikidata,,,in the name of the mother: reflections on writers and empire | ngugi wa thiong o,,in the name of the mother reflections on writers and empire,ngugi wa thiong o,2013.0,05-14,"In the Name of the Mother: Reflections on Writers and Empire 
Ngũgĩ wa Thiong'o 
James Currey",97,"['Conflict in families', 'Wealth and materialism', 'Marriage and relationships']"
This Time Tomorrow,Ngũgĩ wa Thiong'o,Kenya Literature Bureau,,,,1970-01-01,,,wikidata,,,this time tomorrow | ngugi wa thiong o,,this time tomorrow,ngugi wa thiong o,1970.0,60-79,"This Time Tomorrow 
Ngũgĩ wa Thiong'o 
Kenya Literature Bureau",98,"['Wealth and materialism', 'Bad governance', 'Environmental conservation']"
The Upright Revolution: Or Why Humans Walk Upright,Ngũgĩ wa Thiong'o,Seagull Books,,,Gikuyu,2016-01-01,OL23553509W,,wikidata,,,the upright revolution: or why humans walk upright | ngugi wa thiong o,,the upright revolution or why humans walk upright,ngugi wa thiong o,2016.0,15-19,"The Upright Revolution: Or Why Humans Walk Upright 
Ngũgĩ wa Thiong'o 
Seagull Books",99,"['Environmental conservation', 'Indigenous knowledge', 'Generosity']"
Kill Me Quick,Meja Mwangi,,,,,1973-01-01,,,wikidata,,,kill me quick | meja mwangi,,kill me quick,meja mwangi,1973.0,60-79,"Kill Me Quick 
Meja Mwangi 
",100,"['Identity crisis', 'Urban vs rural life', 'Good vs evil']"
Sauti ya dhiki,Abdilatif Abdalla,,,,,,,,ol_author,,,sauti ya dhiki | abdilatif abdalla,,sauti ya dhiki,abdilatif abdalla,,,"Sauti ya dhiki 
Abdilatif Abdalla 
",101,"['Bad governance', 'Silence and voice', 'Fate and free will']"
Liyongo songs,Gudrun Miehe,,,,,,,https://covers.openlibrary.org/b/id/5492340-L.jpg,ol_author,,,liyongo songs | gudrun miehe,5492340.0,liyongo songs,gudrun miehe,,,"Liyongo songs 
Gudrun Miehe 
",102,"['Power of language', 'Urban vs rural life', 'Silence and voice']"
Mashairi ya miaka kumi ya Azimio la Arusha,Abdilatif Abdalla,,,,,,,,ol_author,,,mashairi ya miaka kumi ya azimio la arusha | abdilatif abdalla,,mashairi ya miaka kumi ya azimio la arusha,abdilatif abdalla,,,"Mashairi ya miaka kumi ya Azimio la Arusha 
Abdilatif Abdalla 
",103,"['Conflict in families', 'Bad governance', 'Identity crisis']"
"A statement given by Abdilatif Abdalla, chief co-ordinator of the United Movement for Democracy in Kenya, to the 7th Pan-African Congress, Kampala, Uganda on 3-8 April, 1994",Abdilatif Abdalla,,,,,,,,ol_author,,,a statement given by abdilatif abdalla chief co ordinator of the united movement for democracy in kenya to the 7th pan african congress kampala uganda on 3 8 april 1994 | abdilatif abdalla,,a statement given by abdilatif abdalla chief co ordinator of the united movement for democracy in kenya to the 7th pan african congress kampala uganda on 3 8 april 1994,abdilatif abdalla,,,"A statement given by Abdilatif Abdalla, chief co-ordinator of the United Movement for Democracy in Kenya, to the 7th Pan-African Congress, Kampala, Uganda on 3-8 April, 1994 
Abdilatif Abdalla 
",104,"['Bad governance', 'Poverty', 'Corruption and governance']"
Imaginative Vision of Abdilatif Abdalla's Voice of Agony,Abdilatif Abdalla,,,,,,,,ol_author,,,imaginative vision of abdilatif abdalla s voice of agony | abdilatif abdalla,,imaginative vision of abdilatif abdalla s voice of agony,abdilatif abdalla,,,"Imaginative Vision of Abdilatif Abdalla's Voice of Agony 
Abdilatif Abdalla 
",105,"['Silence and voice', 'Hard work', 'Greed']"
Kale ya washairi wa Pemba,Ali bin Said bin Rashid Jahadhmiy,,,,,,,,ol_author,"A collection of poems by two poets,  Kamange and Sarahani, who lived between the last half of the 19th and early 20th century in Pemba Island.",,kale ya washairi wa pemba | ali bin said bin rashid jahadhmiy,,kale ya washairi wa pemba,ali bin said bin rashid jahadhmiy,,,"Kale ya washairi wa Pemba 
Ali bin Said bin Rashid Jahadhmiy 
",106,"['Bad governance', 'Urban vs rural life', 'Civic responsibility']"
Sambo ya Kiwandeo,Ahmed Sheikh Nabhany,,,,,,,,ol_author,,,sambo ya kiwandeo | ahmed sheikh nabhany,,sambo ya kiwandeo,ahmed sheikh nabhany,,,"Sambo ya Kiwandeo 
Ahmed Sheikh Nabhany 
",107,"['Bad governance', 'Religion and spirituality', 'Post-independence struggles']"
Umbuji wa kiwandeo,Ahmed Sheikh Nabhany,,,,,,,,ol_author,,,umbuji wa kiwandeo | ahmed sheikh nabhany,,umbuji wa kiwandeo,ahmed sheikh nabhany,,,"Umbuji wa kiwandeo 
Ahmed Sheikh Nabhany 
",108,"['Bad governance', 'Wealth and materialism', 'Post-independence struggles']"
Umbuji wa mnazi,Ahmed Sheikh Nabhany,,,,,,,,ol_author,,,umbuji wa mnazi | ahmed sheikh nabhany,,umbuji wa mnazi,ahmed sheikh nabhany,,,"Umbuji wa mnazi 
Ahmed Sheikh Nabhany 
",109,"['Bad governance', 'Wealth and materialism', 'Poverty']"
How Art Can Be Thought,Allan deSouza,,,,,,,https://covers.openlibrary.org/b/id/9225223-L.jpg,ol_author,,,how art can be thought | allan desouza,9225223.0,how art can be thought,allan desouza,,,"How Art Can Be Thought 
Allan deSouza 
",110,"['Wealth and materialism', 'Folklore and oral traditions', 'Oppression']"
Ark of Martyrs,Allan Desouza,,,,,,,,ol_author,,,ark of martyrs | allan desouza,,ark of martyrs,allan desouza,,,"Ark of Martyrs 
Allan Desouza 
",111,"['Greed', 'Justice and injustice', 'Folklore and oral traditions']"
"Allan deSouza, a decade of photoworks, 1998-2008",Allan DeSouza,,,,,,,,ol_author,Catalog of an artist's exhibition; chiefly photographic reproductions of his works.,,allan desouza a decade of photoworks 1998 2008 | allan desouza,,allan desouza a decade of photoworks 1998 2008,allan desouza,,,"Allan deSouza, a decade of photoworks, 1998-2008 
Allan DeSouza 
",112,"['Parent-child relationships', 'Hard work', 'Love and heartbreak']"
"Allan deSouza, Yong Soon Min",Allan DeSouza,,,,,,,,ol_author,,,allan desouza yong soon min | allan desouza,,allan desouza yong soon min,allan desouza,,,"Allan deSouza, Yong Soon Min 
Allan DeSouza 
",113,"['Urban vs rural life', 'Post-independence struggles', 'Peer pressure']"
AlterNatives,Allan DeSouza,,,,,,,,ol_author,,,alternatives | allan desouza,,alternatives,allan desouza,,,"AlterNatives 
Allan DeSouza 
",114,"['Greed', 'Love and heartbreak', 'Poverty']"
Crossing black waters,Allan DeSouza,,,,,,,,ol_author,,,crossing black waters | allan desouza,,crossing black waters,allan desouza,,,"Crossing black waters 
Allan DeSouza 
",115,"['Love and heartbreak', 'Greed', 'Fate and free will']"
Looking both ways,Laurie Ann Farrell,,,,,,,https://covers.openlibrary.org/b/id/5400206-L.jpg,ol_author,,,looking both ways | laurie ann farrell,5400206.0,looking both ways,laurie ann farrell,,,"Looking both ways 
Laurie Ann Farrell 
",116,"['Youth and unemployment', 'Fate and free will', 'Naming and symbolism']"
Jua na Upepo,Anne Matindi,,,,,,,,ol_author,,,jua na upepo | anne matindi,,jua na upepo,anne matindi,,,"Jua na Upepo 
Anne Matindi 
",117,"['Wealth and materialism', 'Morality and ethics', 'Marriage and relationships']"
The lonely black pig,Anne Matindi,,,,,,,,ol_author,,,the lonely black pig | anne matindi,,the lonely black pig,anne matindi,,,"The lonely black pig 
Anne Matindi 
",118,"['Greed', 'Selfishness', 'Wealth and materialism']"
The sun-men and other plays,Anne Matindi,,,,,,,,ol_author,,,the sun men and other plays | anne matindi,,the sun men and other plays,anne matindi,,,"The sun-men and other plays 
Anne Matindi 
",119,"['Laziness', 'Morality and ethics', 'Greed']"
The sun and the wind,Anne Matindi,,,,,,,,ol_author,,,the sun and the wind | anne matindi,,the sun and the wind,anne matindi,,,"The sun and the wind 
Anne Matindi 
",120,"['Climate and nature', 'Laziness', 'Wealth and materialism']"
Tax & development,Attiya Waris,,,,,,,,ol_author,,,tax & development | attiya waris,,tax development,attiya waris,,,"Tax & development 
Attiya Waris 
",121,"['Bad governance', 'Poverty', 'Post-independence struggles']"
Financing Africa,Attiya Waris,,,,,,,,ol_author,,,financing africa | attiya waris,,financing africa,attiya waris,,,"Financing Africa 
Attiya Waris 
",122,"['Greed', 'Poverty', 'Bad governance']"
Taxation and state building in Kenya,Attiya Waris,,,,,,,,ol_author,,,taxation and state building in kenya | attiya waris,,taxation and state building in kenya,attiya waris,,,"Taxation and state building in Kenya 
Attiya Waris 
",123,"['Wealth and materialism', 'Bad governance', 'Greed']"
"Tax Justice and the Political Economy of Global Capitalism, 1945 to the Present",Jeremy Leaman,,,,,,,,ol_author,,,tax justice and the political economy of global capitalism 1945 to the present | jeremy leaman,,tax justice and the political economy of global capitalism 1945 to the present,jeremy leaman,,,"Tax Justice and the Political Economy of Global Capitalism, 1945 to the Present 
Jeremy Leaman 
",124,"['Bad governance', 'Generosity', 'Oppression']"
Das Leben kommt immer dazwischen,Auma Obama,,,,,,,https://covers.openlibrary.org/b/id/12770998-L.jpg,ol_author,,,das leben kommt immer dazwischen | auma obama,12770998.0,das leben kommt immer dazwischen,auma obama,,,"Das Leben kommt immer dazwischen 
Auma Obama 
",125,"['Identity crisis', 'Environmental conservation', 'Poverty']"
And Then Life Happens,Auma Obama,,,,,,,https://covers.openlibrary.org/b/id/9042993-L.jpg,ol_author,,,and then life happens | auma obama,9042993.0,and then life happens,auma obama,,,"And Then Life Happens 
Auma Obama 
",126,"['Identity crisis', 'Greed', 'Wealth and materialism']"
Leidenschaft,Auma Obama,,,,,,,,ol_author,,,leidenschaft | auma obama,,leidenschaft,auma obama,,,"Leidenschaft 
Auma Obama 
",127,"['Wealth and materialism', 'Marriage and relationships', 'Community solidarity']"
Day after tomorrow,Bahadur Tejani,,,,,,,,ol_author,,,day after tomorrow | bahadur tejani,,day after tomorrow,bahadur tejani,,,"Day after tomorrow 
Bahadur Tejani 
",128,"['Bad governance', 'Urban vs rural life', 'Post-independence struggles']"
The rape of literature,Bahadur Tejani,,,,,,,,ol_author,,,the rape of literature | bahadur tejani,,the rape of literature,bahadur tejani,,,"The rape of literature 
Bahadur Tejani 
",129,"['Poverty', 'Bad governance', 'Storytelling as resistance']"
Okello's Shakespeare,Bahadur Tejani,,,,,,,,ol_author,,,okello s shakespeare | bahadur tejani,,okello s shakespeare,bahadur tejani,,,"Okello's Shakespeare 
Bahadur Tejani 
",130,"['Poverty', 'Trauma and healing', 'Wealth and materialism']"
Laughing in the face of terrorism,Bahadur Tejani,,,,,,,https://covers.openlibrary.org/b/id/14310892-L.jpg,ol_author,,,laughing in the face of terrorism | bahadur tejani,14310892.0,laughing in the face of terrorism,bahadur tejani,,,"Laughing in the face of terrorism 
Bahadur Tejani 
",131,"['Bad governance', 'Poverty', 'Justice and injustice']"
Alnoor meets George Washington,Bahadur Tejani,,,,,,,,ol_author,,,alnoor meets george washington | bahadur tejani,,alnoor meets george washington,bahadur tejani,,,"Alnoor meets George Washington 
Bahadur Tejani 
",132,"['Marriage and relationships', 'Post-independence struggles', 'Wealth and materialism']"
Obamawala,Bahadur Tejani,,,,,,,,ol_author,,,obamawala | bahadur tejani,,obamawala,bahadur tejani,,,"Obamawala 
Bahadur Tejani 
",133,"['Bad governance', 'Wealth and materialism', 'Poverty']"
Spartacus,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/10204952-L.jpg,ol_author,"The mighty slave army, led by Spartacus, has carried all before it, scattering the legions of Rome. Three praetors, two consuls and one proconsul have been defeated. Spartacus seems invincible as he marches towards the Alps and freedom. But storm clouds are massing on the horizon. Crixus the Gaul defects, taking all his men with him.",,spartacus | ben kane,10204952.0,spartacus,ben kane,,,"Spartacus 
Ben Kane 
",134,"['Folklore and oral traditions', 'Greed', 'Silence and voice']"
The forgotten legion,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/10312957-L.jpg,ol_author,"""Tarquinius is an Etruscan, a warrior and soothsayer, born enemy of Rome, but doomed to fight for the Republic in the Forgotten Legion."" ""Brennus is a Gaul; the Romans killed his entire family. He rises to become one of the most famous and feared gladiators of his day - and mentor to the boy slave, Romulus, who dreams night and day of escape and revenge."" ""Romulus and Fabiola are twins, born into slavery after their mother is raped by a drunken nobleman. At thirteen years old they are sold: Romulus to gladiator school, Fabiola into prostitution, where she will catch the eye of one of the most powerful men in Rome.""

""The lives of these four characters are bound and interwoven in this marvellous story, which begins in a Rome riven by corruption, violence and political enmities, but ends far away, at the very border of the known world, where Romulus, Brennus and Tarquinius find themselves fighting against the Parthians and impossible odds.""--Jacket.",,the forgotten legion | ben kane,10312957.0,the forgotten legion,ben kane,,,"The forgotten legion 
Ben Kane 
",135,"['Folklore and oral traditions', 'Trauma and healing', 'Cultural heritage']"
Enemy of Rome,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/8231916-L.jpg,ol_author,"In the First Punic War, the Roman legions defeated and humiliated Carthage, their only serious rival for power in the Mediterranean. Now a brilliant young Carthaginian general, called Hannibal, is out for revenge. Caught up in the maelstrom are two young boys, Hanno, the son of a distinguished soldier and confidant of Hannibal, and Quintus, son of a Roman equestrian and landowner. A disastrous adventure will see Hanno sold into slavery and bought by Quintus' father. Although an unexpected friendship springs up between the two boys - and with Quintus' sister, Aurelia - the fortunes of the two warring empires once again separates them. They find themselves on opposite sides of the conflict and an alliance forged through slavery will be played out to its stunning conclusion in battle.",,enemy of rome | ben kane,8231916.0,enemy of rome,ben kane,,,"Enemy of Rome 
Ben Kane 
",136,"['Greed', 'Political violence', 'Urbanization']"
Hannibal,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/9015457-L.jpg,ol_author,,,hannibal | ben kane,9015457.0,hannibal,ben kane,,,"Hannibal 
Ben Kane 
",137,"['Parent-child relationships', 'Silence and voice', 'Education and opportunity']"
The Silver Eagle A Novel Of The Forgotten Legion,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/7806253-L.jpg,ol_author,,,the silver eagle a novel of the forgotten legion | ben kane,7806253.0,the silver eagle a novel of the forgotten legion,ben kane,,,"The Silver Eagle A Novel Of The Forgotten Legion 
Ben Kane 
",138,"['Poverty', 'Folklore and oral traditions', 'Indigenous knowledge']"
Eagles at war,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/10195404-L.jpg,ol_author,"In the summer of 9 CE, Publius Varus, the Roman governor of Germania, and Lucius Tullus, a centurion garrisoned on the Rhine, march east with three legions. As they prepare to return to their winter quarters, they are lured off the road and ambushed by German warriors. The Germans are led by Arminius, a chieftain who is a trusted ally of Rome - and a man who has been secretly planning to betray the empire since childhood. Trapping Varus' legionaries between a hillside and a marsh, and thereby preventing them from forming up or using their artillery, Arminius and his warriors wreak a terrible slaughter. The Roman defeat is overwhelming, but it is not until the third day of the massacre that the scale of Arminius' victory becomes clear. Three legions, upwards of fourteen thousand men have been annihilated, and three treasured Eagle standards have been lost. Just a few hundred legionaries, including Tullus, manage to escape. Nor is the survivors' ordeal over. Pursued to the last Roman fort east of the Rhine, they are besieged by thousands of bloodthirsty tribesmen. Only the gods can save them now ...",,eagles at war | ben kane,10195404.0,eagles at war,ben kane,,,"Eagles at war 
Ben Kane 
",139,"['Colonialism and resistance', 'Love and heartbreak', 'Folklore and oral traditions']"
Eagles in the storm,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/10159176-L.jpg,ol_author,"AD 15. The German chieftain Arminius has been defeated, one of the lost Roman eagles recovered, and thousands of German tribesmen slain. Yet these successes aren't nearly enough for senior centurion Lucius Tullus. Not until Arminius is dead, his old legion's eagle found and the enemy tribes completely vanquished will he rest. But Arminius - devious, fearless - is burning for revenge of his own. Charismatic as ever, he raises another large tribal army, which will harry the Romans the length and breadth of the land. Soon Tullus finds himself in a cauldron of bloodshed, treachery and danger. His mission to retrieve his legion's eagle will be his most perilous yet ...",,eagles in the storm | ben kane,10159176.0,eagles in the storm,ben kane,,,"Eagles in the storm 
Ben Kane 
",140,"['Parent-child relationships', 'Love and heartbreak', 'Good vs evil']"
Stormcrow,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/14744283-L.jpg,ol_author,,,stormcrow | ben kane,14744283.0,stormcrow,ben kane,,,"Stormcrow 
Ben Kane 
",141,"['Silence and voice', 'Parent-child relationships', 'Folklore and oral traditions']"
Clash of Empires,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/8801744-L.jpg,ol_author,,,clash of empires | ben kane,8801744.0,clash of empires,ben kane,,,"Clash of Empires 
Ben Kane 
",142,"['Greed', 'Folklore and oral traditions', 'Hard work']"
Hunting the eagles,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/10133998-L.jpg,ol_author,"Five long years have passed since the annihilation of three Roman legions in the wilds of Germania. Varus, the general who led the ill-fated army, is long dead and the bones of his 15,000 legionaries moulder in the forests. But not all the Romans were slain in the ambush. Centurion Tullus, a seasoned veteran, survived and now he lives for revenge upon the tribal chieftain Arminius, who masterminded the ambush. Tullus will stop at nothing to kill his bitterest enemy, or to recover his legion's lost Eagle.",,hunting the eagles | ben kane,10133998.0,hunting the eagles,ben kane,,,"Hunting the eagles 
Ben Kane 
",143,"['Parent-child relationships', 'Fate and free will', 'Resource exploitation']"
Clouds of War,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/10711067-L.jpg,ol_author,"213 BC. Syracuse. Under the merciless Sicilian sun, a city is at war.

Outside the walls, a vast Roman army waits. Yet the cityâ€™s incredible defences, designed by Archimedes, mean that Syracuse will not be taken easily.

A veteran of the bitter war since its beginning, Quintus is ready to give his life in the service of the Republic. But dangers face him from within his own ranks as well as from the enemy â€“ who include his former friend, the Carthaginian, Hanno.

Hanno has been sent by his general Hannibal to aid Syracuse in its fight against Rome. Pledged to bring death to all Romans, he is diverted from his mission by the discovery of Quintusâ€™ sister Aurelia, a captive within the city.

Two friends on opposing sides. A woman caught between them. They are about to meet in one of the most brutal sieges of all time.

Who will survive?",,clouds of war | ben kane,10711067.0,clouds of war,ben kane,,,"Clouds of War 
Ben Kane 
",144,"['Climate and nature', 'Folklore and oral traditions', 'Justice and injustice']"
The Silver Eagle,Ben Kane,,,,,,,https://covers.openlibrary.org/b/id/6298149-L.jpg,ol_author,,,the silver eagle | ben kane,6298149.0,the silver eagle,ben kane,,,"The Silver Eagle 
Ben Kane 
",145,"['Parent-child relationships', 'Greed', 'Silence and voice']"
A Day of Fire,E Knight,,,,,,,https://covers.openlibrary.org/b/id/10721363-L.jpg,ol_author,,,a day of fire | e knight,10721363.0,a day of fire,e knight,,,"A Day of Fire 
E Knight 
",146,"['Folklore and oral traditions', 'Religion and spirituality', 'Greed']"
One day I will write about this place,Binyavanga Wainaina,,,,,,,https://covers.openlibrary.org/b/id/9826987-L.jpg,ol_author,"In this memoir, Wainaina takes us through his school days, his mother's religious period, his failed attempt to study commerce in South Africa, a moving family reunion in Uganda, and his travels around Kenya.",,one day i will write about this place | binyavanga wainaina,9826987.0,one day i will write about this place,binyavanga wainaina,,,"One day I will write about this place 
Binyavanga Wainaina 
",147,"['Wealth and materialism', 'Post-independence struggles', 'Bad governance']"
Discovering home,Binyavanga Wainaina,,,,,,,https://covers.openlibrary.org/b/id/743098-L.jpg,ol_author,,,discovering home | binyavanga wainaina,743098.0,discovering home,binyavanga wainaina,,,"Discovering home 
Binyavanga Wainaina 
",148,"['Post-independence struggles', 'Climate and nature', 'Indigenous knowledge']"
Beyond the River Yei,Binyavanga Wainaina,,,,,,,,ol_author,,,beyond the river yei | binyavanga wainaina,,beyond the river yei,binyavanga wainaina,,,"Beyond the River Yei 
Binyavanga Wainaina 
",149,"['Post-independence struggles', 'Urban vs rural life', 'Wealth and materialism']"
Kwani? 02,Binyavanga Wainaina,,,,,,,https://covers.openlibrary.org/b/id/2727454-L.jpg,ol_author,,,kwani? 02 | binyavanga wainaina,2727454.0,kwani 02,binyavanga wainaina,,,"Kwani? 02 
Binyavanga Wainaina 
",150,"['Wealth and materialism', 'Urban vs rural life', 'Bad governance']"
Kwani? 1 (Kwani?),Binyavanga Wainaina,,,,,,,,ol_author,,,kwani? 1 (kwani?) | binyavanga wainaina,,kwani 1 kwani,binyavanga wainaina,,,"Kwani? 1 (Kwani?) 
Binyavanga Wainaina 
",151,"['Wealth and materialism', 'Urban vs rural life', 'Religion and spirituality']"
Andreas Herzau,Andreas Herzau,,,,,,,,ol_author,"WÃ¤hrend des BÃ¼rgerkriegs in den 1990er-Jahren galt Liberia als ein Synonym fÃ¼r den Vorhof zur HÃ¶lle. Die Berichte Ã¼ber die Greueltaten der War Lords und ihrer Milizen gingen um die Welt. Andreas Herzau hat den BÃ¼rgerkrieg und die FlÃ¼chtlingsbewegungen damals vor Ort als Reporter erlebt und dokumentiert. Als in den Jahren 2005/06 ein erstaunlicher Aufarbeitungs- und Demokratisierungsprozess in Liberia einsetzte, besuchte er das Land erneut, stellte bald aber fest, dass diese Geschehnisse in der westlichen Welt auf weit weniger Interesse stieÃŸen als die 'Sensationen des Negativen'.0Ihm wurde deutlich, wie sehr das europÃ¤ische Bild von Afrika durch den Fokus auf Kriege und Krisen geprÃ¤gt ist. Sobald sich die Situation in einem der LÃ¤nder zum Guten wendet, berichtet niemand mehr darÃ¼ber. Bestand haben einzig die Bilder und Nachrichten von Greueltaten, Chaos, Hunger und Opfern. Herzau bemerkte, dass diese 'dÃ©formation professionelle' auch seinen Blick bestimmte. Er beschloss daraufhin, ein Experiment zu wagen und das Land 2019 unter anderen Vorzeichen zu betrachten. Das Ziel war, in Erfahrung zu bringen, ob es ihm gelinge, Liberia mit einem Interesse am Positiven zu bereisen und eine optische Sprache dafÃ¼r zu finden. Das vorliegenden Buch stellt im Wortsinn einen Versuch dar, sich der zementierenden Wirkung einseitiger Opferberichterstattung entgegenzustellen und dem Stereotyp des europÃ¤ischen Afrikabildes zu entkommen. Inspiration dafÃ¼r war auch der Essay 'How to write about Africa' des kenianischen Autors Binyavanga Wainaina, der dem Band in Deutsch und Englisch vorangestellt ist.",,andreas herzau | andreas herzau,,andreas herzau,andreas herzau,,,"Andreas Herzau 
Andreas Herzau 
",152,"['Urbanization', 'Community solidarity', 'Oppression']"
Nguva Na Nyoka,Binyavanga Wainaina,,,,,,,,ol_author,,,nguva na nyoka | binyavanga wainaina,,nguva na nyoka,binyavanga wainaina,,,"Nguva Na Nyoka 
Binyavanga Wainaina 
",153,"['Wealth and materialism', 'Bad governance', 'Gender roles and feminism']"
Algún día escribiré sobre África,Binyavanga Wainaina,,,,,,,https://covers.openlibrary.org/b/id/12333052-L.jpg,ol_author,,,algun dia escribire sobre africa | binyavanga wainaina,12333052.0,algun dia escribire sobre africa,binyavanga wainaina,,,"Algún día escribiré sobre África 
Binyavanga Wainaina 
",154,"['Post-independence struggles', 'Wealth and materialism', 'Ethnic diversity']"
