title,author,themes
"The people's representative and the tyrants, or, Kenya, independence without freedom",Koigi wa Wamwere.,"['Oppression', 'Bad governance', 'Wealth and materialism']"
Towards genocide in Kenya,Koigi wa Wamwere.,"['Oppression', 'Political violence', 'Wealth and materialism']"
Conscience on Trial: Why I Was Detained,Koigi Wa Wamwere,"['Oppression', 'Civic responsibility', 'Morality and ethics']"
Negative Ethnicity,Koigi Wa Wamwere,"['Ethnic diversity', 'Oppression', 'Poverty']"
Justice on trial,Koigi wa Wamwere.,"['Justice and injustice', 'Civic responsibility', 'Political violence']"
Etnisitetsbomben,Koigi wa Wamwere.,"['Resource exploitation', 'Environmental conservation', 'Wealth and materialism']"
Kenya,Koigi wa Wamwere,"['Wealth and materialism', 'Environmental conservation', 'Civic responsibility']"
Dream of freedom,Koigi wa Wamwere.,"['Civic responsibility', 'Oppression', 'Post-independence struggles']"
Hjertets tårer,Koigi wa Wamwere.,"['Environmental conservation', 'Loneliness and isolation', 'Civic responsibility']"
The Pretoria conspiracy,Lily Mabura,"['Generosity', 'Political violence', 'Dreams and ambitions']"
"Ali, the little suntan",Lily Mabura,"['Morality and ethics', 'Wealth and materialism', 'Naming and symbolism']"
Saleh Kanta and the cavaliers,Lily Mabura,"['Silence and voice', 'Hard work', 'Marriage and relationships']"
Remembrance,Lily Mabura,"['Wealth and materialism', 'Naming and symbolism', 'Generosity']"
How Shall We Kill The Bishop And Other Stories,Lily Mabura,"['Morality and ethics', 'Naming and symbolism', 'Trauma and healing']"
Favour the Game Changer,Lucy Natasha,"['Fate and free will', 'Silence and voice', 'Generosity']"
Every Problem Has an Expiry Date!,Lucy Natasha,"['Hard work', 'Identity crisis', 'Mental health']"
Before You Say I Do,Lucy Natasha,"['Silence and voice', 'Fate and free will', 'Power of language']"
Gods Leading Lady,Rev. Lucy Natasha,"['Wealth and materialism', 'Fate and free will', 'Naming and symbolism']"
Touching Heaven Through Prayer,Rev Lucy Natasha,"['Religion and spirituality', 'Wealth and materialism', 'Fate and free will']"
A girl cannot go on laughing all the time,Magaga Alot,"['Parent-child relationships', 'Mental health', 'Youth and unemployment']"
People and communication in Kenya,Magaga Alot,"['Bad governance', 'Ethnic diversity', 'Wealth and materialism']"
Heat of the moment,Magaga Alot,"['Parent-child relationships', 'Power of language', 'Identity crisis']"
Daughter of state,Magaga Alot,"['Parent-child relationships', 'Bad governance', 'Conflict in families']"
East African integration,Magaga Alot,"['Ethnic diversity', 'Oppression', 'Poverty']"
Caine Prize for African Writing 2018,Olufunke Ogundimu,"['Greed', 'Generosity', 'Oppression']"
The Year’s Best African Speculative Fiction 2021,Oghenechovwe Donald Ekpeki,"['Wealth and materialism', 'Greed', 'Folklore and oral traditions']"
The Year’s Best African Speculative Fiction 2023,Oghenechovwe Donald Ekpeki,"['Wealth and materialism', 'Greed', 'Folklore and oral traditions']"
The present moment,Marjorie Oludhe Macgoye,"['Conflict in families', 'Identity crisis', 'Generosity']"
Homing in,Marjorie Oludhe Macgoye,"['Generosity', 'Conflict in families', 'Education and opportunity']"
Chira,Marjorie Oludhe Macgoye,"['Conflict in families', 'Silence and voice', 'Poverty']"
The composition of poetry,Marjorie Oludhe Macgoye,"['Conflict in families', 'Indigenous knowledge', 'Storytelling as resistance']"
Creative writing in prose,Marjorie Oludhe Macgoye,"['Storytelling as resistance', 'Indigenous knowledge', 'Dreams and ambitions']"
Growing up at Lina School,Marjorie Oludhe Macgoye,"['Education and opportunity', 'Parent-child relationships', 'Conflict in families']"
Victoria and Murder in Majengo,Marjorie Oludhe Macgoye,"['Oppression', 'Identity crisis', 'Conflict in families']"
Rebmann,Marjorie Oludhe Macgoye,"['Conflict in families', 'Identity crisis', 'Generosity']"
The story of Kenya,Marjorie Oludhe MacGoye,"['Poverty', 'Bad governance', 'Generosity']"
Murder in Majengo,Marjorie Oludhe Macgoye,"['Conflict in families', 'Poverty', 'Identity crisis']"
Song of Nyarloka and other poems,Marjorie Oludhe Macgoye,"['Indigenous knowledge', 'Marriage and relationships', 'Dreams and ambitions']"
"The Black Hand Gang (Junior Readers Series, 40)",Marjorie Oludhe Macgoye,"['Storytelling as resistance', 'Bad governance', 'Poverty']"
A farm called Kishinev,Marjorie Oludhe Macgoye,"['Agriculture and food security', 'Conflict in families', 'Poverty']"
Make it sing & other poems,Marjorie Oludhe Macgoye,"['Silence and voice', 'Dreams and ambitions', 'Conflict in families']"
The silent twins,Marjorie Wallace,"['Silence and voice', 'Parent-child relationships', 'Education and opportunity']"
Campaign and be damned,Marjorie Wallace,"['Silence and voice', 'Greed', 'Fate and free will']"
On giant's shoulders,Marjorie Wallace,"['Parent-child relationships', 'Hard work', 'Education and opportunity']"
Schizophrenia 1992,Marjorie Wallace,"['Mental health', 'Parent-child relationships', 'Silence and voice']"
Whose mind is it anyway?,Marjorie Wallace,"['Mental health', 'Selfishness', 'Education and opportunity']"
Work,Donald Ray Pollock,"['Hard work', 'Storytelling as resistance', 'Resource exploitation']"
The NGO Factor in Africa,Maurice Amutabi,"['Poverty', 'Bad governance', 'Greed']"
Regime Change and Succession Politics in Africa,Maurice N. Amutabi,"['Bad governance', 'Poverty', 'Greed']"
Palgrave Handbook of Contemporary Kenya,Wanjala S. Nasong'o,"['Bad governance', 'Wealth and materialism', 'Environmental conservation']"
Palgrave Handbook of Kenyan History,Wanjala S. Nasong'o,"['Wealth and materialism', 'Bad governance', 'Marriage and relationships']"
Foundations of adult education in Africa,Fredrick Nafukho,"['Wealth and materialism', 'Oppression', 'Bad governance']"
Africa after Fifty Years,Toyin Falola,"['Ethnic diversity', 'Wealth and materialism', 'Poverty']"
Palgrave Handbook of Kenya and Its History,Shadrack Wanjala Nasong'o,"['Bad governance', 'Wealth and materialism', 'Environmental conservation']"
Palgrave Handbook of Contemporary Kenya,Shadrack Wanjala Nasong'o,"['Bad governance', 'Wealth and materialism', 'Environmental conservation']"
The bushtrackers,Meja Mwangi,"['Bad governance', 'Identity crisis', 'Community solidarity']"
"The Last Plague (Vitabu Vya Nyota Series, 2)",Meja Mwangi,"['Urban vs rural life', 'Trauma and healing', 'Migration and diaspora']"
Cockroach Dance,Meja Mwangi,"['Power of language', 'Conflict in families', 'Marriage and relationships']"
Baba Pesa,Meja Mwangi,"['Bad governance', 'Power of language', 'Identity crisis']"
The last plague,Meja Mwangi,"['Trauma and healing', 'Good vs evil', 'Urban vs rural life']"
The return of Shaka,Meja Mwangi,"['Bad governance', 'Fate and free will', 'Migration and diaspora']"
Boy Gift,Meja Mwangi,"['Parent-child relationships', 'Marriage and relationships', 'Urban vs rural life']"
Striving for the wind,Meja Mwangi,"['Climate and nature', 'Environmental conservation', 'Urban vs rural life']"
Mama Dudu,Meja Mwangi,"['Community solidarity', 'Post-independence struggles', 'Power of language']"
Crossroads,Meja Mwangi,"['Community solidarity', 'Identity crisis', 'Hope and despair']"
Trial of Dedan Kimathi,Ngũgĩ wa Thiongʼo,"['Bad governance', 'Justice and injustice', 'Oppression']"
Visions of Africa,Mĩcere Gĩthae Mũgo,"['Dreams and ambitions', 'Greed', 'Wealth and materialism']"
"African orature and human rights in Gikuyu, Shona, and Ndebele zamani cultures",Mĩcere Gĩthae Mũgo,"['Oppression', 'Ethnic diversity', 'Poverty']"
The long illness of ex-Chief Kiti,Mĩcere Gĩthae Mũgo,"['Trauma and healing', 'Conflict in families', 'Dreams and ambitions']"
African orature and human rights,Mĩcere Gĩthae Mũgo,"['Oppression', 'Poverty', 'Environmental conservation']"
"Daughter of my people, sing!",Mĩcere Gĩthae Mũgo,"['Community solidarity', 'Dreams and ambitions', 'Parent-child relationships']"
"Muthoni wa Kirima, Mau Mau woman field marshal",Mĩcere Gĩthae Mũgo,"['Wealth and materialism', 'Gender roles and feminism', 'Marriage and relationships']"
Imperative of Utu / Ubuntu in Africana Scholarship,Mĩcere Gĩthae Mũgo,"['Poverty', 'Community solidarity', 'Wealth and materialism']"
Writing and speaking from the heart of my mind,Mĩcere Gĩthae Mũgo,"['Dreams and ambitions', 'Religion and spirituality', 'Power of language']"
Art of Resistance,Mĩcere Gĩthae Mũgo,"['Resistance and struggle', 'Storytelling as resistance', 'Colonialism and resistance']"
Feminism and War,Judy Rohrer,"['Gender roles and feminism', 'Oppression', 'Political violence']"
The boy in between,Miriam Khamadi Were,"['Parent-child relationships', 'Conflict in families', 'Gender roles and feminism']"
The high school gent,Miriam Khamadi Were,"['Gender roles and feminism', 'Wealth and materialism', 'Parent-child relationships']"
The eighth wife,Miriam Khamadi Were,"['Conflict in families', 'Marriage and relationships', 'Gender roles and feminism']"
Your heart is my altar,Miriam Khamadi Were,"['Religion and spirituality', 'Naming and symbolism', 'Morality and ethics']"
Your heart is my heart,Miriam Khamadi Were,"['Morality and ethics', 'Religion and spirituality', 'Naming and symbolism']"
A nurse with a song,Miriam Khamadi Were,"['Trauma and healing', 'Wealth and materialism', 'Gender roles and feminism']"
Organization and management of community-based health care,Miriam Khamadi Were,"['Community solidarity', 'Gender roles and feminism', 'Family unity']"
Research notes,Miriam Khamadi Were,"['Wealth and materialism', 'Morality and ethics', 'Resource exploitation']"
The wrong kind of girl,Monica Genya,"['Bad governance', 'Silence and voice', 'Morality and ethics']"
The other side of love,Monica Genya,"['Silence and voice', 'Morality and ethics', 'Love and heartbreak']"
Shifting sands,Moraa Gitaa,"['Migration and diaspora', 'Wealth and materialism', 'Marriage and relationships']"
The shark attack,Moraa Gitaa,"['Political violence', 'Hard work', 'Marriage and relationships']"
Take Nothing with You,Skeeter Wilson,"['Silence and voice', 'Fate and free will', 'Religion and spirituality']"
Fighting Without Ceasing,Muthoni Likimani,"['Poverty', 'Justice and injustice', 'Political violence']"
They Shall Be Chastised,Muthoni Likimani,"['Justice and injustice', 'Poverty', 'Hope and despair']"
What does a man want?,Muthoni Likimani,"['Poverty', 'Gender roles and feminism', 'Dreams and ambitions']"
Passbook number F.47927,Muthoni Likimani,"['Bad governance', 'Justice and injustice', 'Silence and voice']"
Crafty Chameleon,Mwenye Hadithi.,"['Language and identity', 'Urban vs rural life', 'Agriculture and food security']"
Greedy zebra,Mwenye Hadithi.,"['Oppression', 'Poverty', 'Greed']"
Hot Hippo,Mwenye Hadithi.,"['Urban vs rural life', 'Hard work', 'Love and heartbreak']"
Lazy lion,Mwenye Hadithi.,"['Laziness', 'Poverty', 'Oppression']"
Baby baboon,Mwenye Hadithi.,"['Parent-child relationships', 'Post-independence struggles', 'Urban vs rural life']"
Hungry Hyena,Mwenye Hadithi.,"['Urban vs rural life', 'Agriculture and food security', 'Gender roles and feminism']"
Tricky Tortoise,Mwenye Hadithi.,"['Morality and ethics', 'Hard work', 'Poverty']"
Laughing Giraffe,Mwenye Hadithi,"['Power of language', 'Morality and ethics', 'Conflict in families']"
Lazy Lion (Picture Knight),Mwenye Hadithi.,"['Hard work', 'Folklore and oral traditions', 'Fate and free will']"
Cong ming de bian se long,Mwenye Hadithi,"['Post-independence struggles', 'Urban vs rural life', 'Community solidarity']"
Handsome Hog (African Animal Tales),Mwenye Hadithi,"['Folklore and oral traditions', 'Ethnic diversity', 'Marriage and relationships']"
African Animal Tales,Mwenye Hadithi,"['Folklore and oral traditions', 'Indigenous knowledge', 'Poverty']"
Gardening in East Africa,Mwenye Hadithi,"['Climate and nature', 'Agriculture and food security', 'Environmental conservation']"
Baby Baboon (Picture Knight),Mwenye Hadithi.,"['Parent-child relationships', 'Urban vs rural life', 'Trauma and healing']"
Crafty Chameleon (Picture Knight),Mwenye Hadithi.,"['Urban vs rural life', 'Trauma and healing', 'Parent-child relationships']"
Greedy Zebra (Picture Knight),Mwenye Hadithi.,"['Oppression', 'Greed', 'Urban vs rural life']"
Hot Hippo (Picture Knight),Mwenye Hadithi.,"['Urban vs rural life', 'Hard work', 'Justice and injustice']"
Hungry Hyena (Picture Knight),Mwenye Hadithi.,"['Urban vs rural life', 'Agriculture and food security', 'Fate and free will']"
The Rise of the African Novel,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Greed', 'Poverty']"
Conversing With Africa,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Power of language', 'Ethnic diversity']"
Unbury Our Dead with Song,Mũkoma wa Ngũgĩ,"['Community solidarity', 'Wealth and materialism', 'Bad governance']"
Logotherapy,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Trauma and healing', 'Bad governance']"
Mrs. Shaw,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Bad governance', 'Gender roles and feminism']"
Killing Sahara,Mũkoma wa Ngũgĩ,"['Wealth and materialism', 'Greed', 'Bad governance']"
Voices from my clan,Mũkoma wa Ngũgĩ,"['Silence and voice', 'Community solidarity', 'Power of language']"
Strange and Difficult Times,Nanjala Nyabola,"['Dreams and ambitions', 'Marriage and relationships', 'Bad governance']"
Digital Identities and Border Cultures,Nanjala Nyabola,"['Ethnic diversity', 'Wealth and materialism', 'Indigenous knowledge']"
"Digital Democracy, Analogue Politics",Nanjala Nyabola,"['Bad governance', 'Political violence', 'Post-independence struggles']"
City Murders,Nducu wa Ngugi,"['Urbanization', 'Urban vs rural life', 'Political violence']"
Blue mothertongue,Ngwatilo Mawiyoo,"['Parent-child relationships', 'Community solidarity', 'Conflict in families']"
I will marry when I want,Ngũgĩ wa Thiongʼo,"['Conflict in families', 'Urban vs rural life', 'Power of language']"
Community based theatre skills,Ngũgĩ wa Mĩriĩ,"['Community solidarity', 'Urbanization', 'Indigenous knowledge']"
Njamba Nene and the flying bus,Ngũgĩ wa Thiongʼo,"['Bad governance', 'Urban vs rural life', 'Dreams and ambitions']"
African Short Stories,Chinua Achebe,"['Resource exploitation', 'Folklore and oral traditions', 'Indigenous knowledge']"
Caitaani mũtharaba-inĩ,Ngũgĩ wa Thiongʼo,"['Oppression', 'Wealth and materialism', 'Bad governance']"
Matigari,Ngũgĩ wa Thiongʼo,"['Wealth and materialism', 'Environmental conservation', 'Oppression']"
In the house of the interpreter,Ngũgĩ wa Thiongʼo,"['Oppression', 'Power of language', 'Civic responsibility']"
Dreams in a Time of War,Ngũgĩ wa Thiongʼo,"['Dreams and ambitions', 'Political violence', 'Wealth and materialism']"
Perfect Nine,Ngũgĩ wa Thiongʼo,"['Power of language', 'Post-independence struggles', 'Religion and spirituality']"
Birth of a dream weaver,Ngũgĩ wa Thiongʼo,"['Dreams and ambitions', 'Wealth and materialism', 'Post-independence struggles']"
Njamba Nene's pistol,Ngũgĩ wa Thiongʼo,"['Dreams and ambitions', 'Wealth and materialism', 'Parent-child relationships']"
To Africa with a dream,Olga Marlin,"['Dreams and ambitions', 'Silence and voice', 'Youth and unemployment']"
Con un sueño en África,Olga Marlin ,"['Poverty', 'Wealth and materialism', 'Justice and injustice']"
Wealth not income,Olubayi Olubayi,"['Poverty', 'Bad governance', 'Greed']"
Education for a Better World,Olubayi Olubayi,"['Bad governance', 'Education and opportunity', 'Oppression']"
Kaburi bila msalaba,P. M. Kareithi,"['Bad governance', 'Religion and spirituality', 'Cultural heritage']"
The broken pot,P. M. Kareithi,"['Greed', 'Religion and spirituality', 'Trauma and healing']"
Devil's own,P. M. Kareithi,"['Greed', 'Religion and spirituality', 'Bad governance']"
Guide to politics in Mbiri,P. M. Kareithi,"['Bad governance', 'Political violence', 'Wealth and materialism']"
The maize plant,P. M. Kareithi,"['Agriculture and food security', 'Indigenous knowledge', 'Wealth and materialism']"
Kenya's Uncertain Democracy,Peter Kagwanja,"['Bad governance', 'Greed', 'Wealth and materialism']"
An encumbered regional power?,Peter Kagwanja,"['Bad governance', 'Wealth and materialism', 'Ethnic diversity']"
Kiraitu Murungi,Peter Kagwanja,"['Wealth and materialism', 'Urban vs rural life', 'Bad governance']"
Eye on the nation,Peter Kagwanja,"['Bad governance', 'Loneliness and isolation', 'Wealth and materialism']"
Paving Africa's silk road,Peter Kagwanja,"['Wealth and materialism', 'Greed', 'Bad governance']"
The African challenge,Philip Ndegwa,"['Ethnic diversity', 'Political violence', 'Poverty']"
The common market and development in East Africa,Philip Ndegwa,"['Greed', 'Bad governance', 'Poverty']"
Africa's Development Crisis and Related International Issues,Philip Ndegwa,"['Bad governance', 'Post-independence struggles', 'Greed']"
Africa to 2000 and beyond,Philip Ndegwa,"['Ethnic diversity', 'Wealth and materialism', 'Dreams and ambitions']"
Philip Ndegwa on Africa's development crisis and related international issues,Philip Ndegwa,"['Bad governance', 'Post-independence struggles', 'Greed']"
Report of Symposium on Development Options for Africa in the 1980s and Beyond,Philip Ndegwa,"['Post-independence struggles', 'Environmental conservation', 'Bad governance']"
Africa's Development Crisis,Philip Ndegwa,"['Post-independence struggles', 'Bad governance', 'Greed']"
Management for development,Philip Ndegwa,"['Post-independence struggles', 'Bad governance', 'Dreams and ambitions']"
Still Sings the Nightbird,Philo Ikonya,"['Dreams and ambitions', 'Marriage and relationships', 'Silence and voice']"
"Kenya, Will You Marry Me?",Philo Ikonya,"['Marriage and relationships', 'Conflict in families', 'Wealth and materialism']"
Splintering Silence,Philo Ikonya,"['Silence and voice', 'Trauma and healing', 'Justice and injustice']"
Invincible Nubia - adios Lampedusa!,Philo Ikonya,"['Marriage and relationships', 'Dreams and ambitions', 'Love and heartbreak']"
Aus dem Gefängnis,Philo Ikonya,"['Oppression', 'Cultural heritage', 'Conflict in families']"
Leading the Night,Philo Ikonya,"['Dreams and ambitions', 'Marriage and relationships', 'Parent-child relationships']"
The Kenyan boy who became the president of America,Philo Ikonya,"['Parent-child relationships', 'Bad governance', 'Greed']"
This bread of peace,Philo Ikonya,"['Justice and injustice', 'Religion and spirituality', 'Wealth and materialism']"
Triple heritage,Rasna Warah,"['Cultural heritage', 'Wealth and materialism', 'Fate and free will']"
Lords of Impunity,Rasna Warah,"['Gender roles and feminism', 'Bad governance', 'Poverty']"
War crimes,Rasna Warah,"['Political violence', 'Justice and injustice', 'Morality and ethics']"
Red soil and roasted maize,Rasna Warah,"['Agriculture and food security', 'Resource exploitation', 'Indigenous knowledge']"
Unsilenced,Rasna Warah,"['Wealth and materialism', 'Bad governance', 'Gender roles and feminism']"
"Missionaries, Mercenaries and Misfits",Rasna Warah,"['Wealth and materialism', 'Poverty', 'Gender roles and feminism']"
Mogadishu Then and Now,Rasna Warah,"['Wealth and materialism', 'Urban vs rural life', 'Fate and free will']"
Mfalme Chui Mkatili,Rebecca Nandwa,"['Wealth and materialism', 'Religion and spirituality', 'Urban vs rural life']"
Naledi,Rebecca Nandwa,"['Wealth and materialism', 'Marriage and relationships', 'Religion and spirituality']"
Mnyama mwenye huruma,Rebecca Nandwa,"['Wealth and materialism', 'Gender roles and feminism', 'Bad governance']"
The sacred seed,Rebeka Njau,"['Indigenous knowledge', 'Religion and spirituality', 'Traditional beliefs']"
Ripples in the pool,Rebeka Njau,"['Laziness', 'Climate and nature', 'Environmental conservation']"
Kenya women heroes and their mystical power,Rebeka Njau,"['Wealth and materialism', 'Gender roles and feminism', 'Generosity']"
Mirrors of my life,Rebeka Njau,"['Dreams and ambitions', 'Youth and unemployment', 'Fate and free will']"
The hypocrite and other stories,Rebeka Njau,"['Morality and ethics', 'Selfishness', 'Honesty vs dishonesty']"
The scar,Rebeka Njau,"['Trauma and healing', 'Naming and symbolism', 'Love and heartbreak']"
Dedan Kimathi,Samuel Kahiga,"['Bad governance', 'Silence and voice', 'Wealth and materialism']"
Paradise farm,Samuel Kahiga,"['Agriculture and food security', 'Religion and spirituality', 'Generosity']"
When the stars are scattered,Samuel Kahiga,"['Religion and spirituality', 'Wealth and materialism', 'Hope and despair']"
The girl from abroad,Samuel Kahiga,"['Wealth and materialism', 'Parent-child relationships', 'Migration and diaspora']"
Lover in the sky,Samuel Kahiga,"['Religion and spirituality', 'Marriage and relationships', 'Silence and voice']"
Flight to Juba,Samuel Kahiga,"['Migration and diaspora', 'Agriculture and food security', 'Religion and spirituality']"
A study of Kalenjin linguistics,Taaitta Toweett,"['Indigenous knowledge', 'Power of language', 'Urban vs rural life']"
Oral (traditional) history of the Kipsigis,Taaitta Toweett,"['Indigenous knowledge', 'Conflict in families', 'Wealth and materialism']"
Tears over a dead cow and other stories,Taaitta Toweett,"['Folklore and oral traditions', 'Indigenous knowledge', 'Trauma and healing']"
An African's year in England,Taaitta Toweett,"['Generosity', 'Oppression', 'Ethnic diversity']"
English-Swahili-Kalenjin,Taaitta Toweett,"['Power of language', 'Urban vs rural life', 'Trauma and healing']"
Epitaph on colonialism and shorter poems,Taaitta Toweett,"['Wealth and materialism', 'Indigenous knowledge', 'Migration and diaspora']"
Tears over a dead cow,Taaitta Toweett,"['Trauma and healing', 'Hope and despair', 'Folklore and oral traditions']"
Unsung heroes of Lancaster,Taaitta Toweett,"['Folklore and oral traditions', 'Generosity', 'Trauma and healing']"
Twilight woman,Thomas Akare,"['Education and opportunity', 'Fate and free will', 'Morality and ethics']"
The slums,Thomas Akare,"['Greed', 'Education and opportunity', 'Indigenous knowledge']"
The road to Eldoret and other stories,Tony Mochama,"['Dreams and ambitions', 'Folklore and oral traditions', 'Urbanization']"
Princess Adhis and the naija coca broda,Tony Mochama,"['Bad governance', 'Parent-child relationships', 'Indigenous knowledge']"
What if I am a literary gangsta?,Tony Adam Mochama,"['Dreams and ambitions', 'Poverty', 'Identity crisis']"
"Nairobi, a night guide",Tony Adam Mochama,"['Wealth and materialism', 'Marriage and relationships', 'Urbanization']"
Meet the Omtitas,Tony Adam Mochama,"['Dreams and ambitions', 'Fate and free will', 'Poverty']"
Three days on the cross,Wahome Mutahi,"['Generosity', 'Naming and symbolism', 'Hope and despair']"
How to be a Kenyan,Wahome Mutahi,"['Wealth and materialism', 'Cultural heritage', 'Poverty']"
The jail bugs,Wahome Mutahi,"['Bad governance', 'Poverty', 'Justice and injustice']"
The miracle merchant,Wahome Mutahi,"['Generosity', 'Indigenous knowledge', 'Greed']"
Doomsday,Wahome Mutahi,"['Justice and injustice', 'Hope and despair', 'Fate and free will']"
The house of doom,Wahome Mutahi,"['Hope and despair', 'Justice and injustice', 'Wealth and materialism']"
Whispers & Camisassius,Wahome Mutahi,"['Religion and spirituality', 'Silence and voice', 'Urban vs rural life']"
Best of whispers,Wahome Mutahi,"['Silence and voice', 'Urban vs rural life', 'Religion and spirituality']"
The world of Whispers,Wahome Mutahi,"['Silence and voice', 'Religion and spirituality', 'Indigenous knowledge']"
Responsible citizenship,Wahome Mutahi,"['Civic responsibility', 'Bad governance', 'Poverty']"
Just wait and see,Wahome Mutahi,"['Urban vs rural life', 'Parent-child relationships', 'Cultural heritage']"
Our daily bread,Wahome Mutahi,"['Community solidarity', 'Cultural heritage', 'Agriculture and food security']"
"Responsible citizenship, building democracy",Wahome Mutahi,"['Civic responsibility', 'Bad governance', 'Environmental conservation']"
Monitoring state-sponsored violence in Africa,Sally Sealey,"['Political violence', 'Wealth and materialism', 'Community solidarity']"
Me Katilili,Wangũi wa Goro,"['Urban vs rural life', 'Power of language', 'Community solidarity']"
"A Modern History of Kenya, 1885-1980",William Robert Ochiengʼ,"['Wealth and materialism', 'Greed', 'Environmental conservation']"
People round the lake,William Robert Ochiengʼ,"['Laziness', 'Resistance and struggle', 'Marriage and relationships']"
Themes in Kenyan History,William Robert Ochiengʼ,"['Wealth and materialism', 'Greed', 'Political violence']"
The second word,William Robert Ochiengʼ,"['Storytelling as resistance', 'Political violence', 'Honesty vs dishonesty']"
A history of the Kadimo chiefdom of Yimbo in western Kenya,William Robert Ochiengʼ,"['Wealth and materialism', 'Bad governance', 'Greed']"
"Decolonization and Independence in Kenya, 1940-93",Bethwell A. Ogot,"['Oppression', 'Ethnic diversity', 'Wealth and materialism']"
People of the south-western highlands,William Robert Ochieng',"['Indigenous knowledge', 'Ethnic diversity', 'Conflict in families']"
Kenya,Bethwell A. Ogot,"['Wealth and materialism', 'Oppression', 'Ethnic diversity']"
A history of Kenya,William Robert Ochieng',"['Wealth and materialism', 'Greed', 'Ethnic diversity']"
Individual dreams in Kenyan history,William Robert Ochieng',"['Dreams and ambitions', 'Wealth and materialism', 'Greed']"
A pre-colonial history of the Gusii of western Kenya from c. A.D. 1500 to 1914,William Robert Ochieng',"['Ethnic diversity', 'Greed', 'Wealth and materialism']"
"The politics of transition from authoritarianism to democracy, 1978-2002",William Robert Ochieng',"['Bad governance', 'Political violence', 'Leadership and betrayal']"
Historical studies and social change in western Kenya,William Robert Ochieng',"['Wealth and materialism', 'Greed', 'Ethnic diversity']"
The rise of a nationalist cultural state in pre-colonial Kenya,William Robert Ochieng',"['Wealth and materialism', 'Ethnic diversity', 'Greed']"
Politics and leadership in Africa,William Robert Ochieng',"['Political violence', 'Leadership and betrayal', 'Greed']"
An outline history of Nyanza up to 1914,William Robert Ochieng',"['Conflict in families', 'Marriage and relationships', 'Love and heartbreak']"
An outline history of the Rift Valley of Kenya up to A.D. 1900,William Robert Ochieng',"['Wealth and materialism', 'Ethnic diversity', 'Land and displacement']"
The black man's democracy,William Robert Ochieng',"['Leadership and betrayal', 'Political violence', 'Bad governance']"
Eastern Kenya and its invaders,William Robert Ochieng',"['Ethnic diversity', 'Greed', 'Wealth and materialism']"
The first word,William Robert Ochieng',"['Storytelling as resistance', 'Laziness', 'Indigenous knowledge']"
Dust,Yvonne Adhiambo Owuor,"['Wealth and materialism', 'Community solidarity', 'Urbanization']"
Dragonfly Sea,Yvonne Adhiambo Owuor,"['Urban vs rural life', 'Love and heartbreak', 'Parent-child relationships']"
Weight of whispers,Yvonne Adhiambo Owuor,"['Youth and unemployment', 'Silence and voice', 'Love and heartbreak']"
"Who I am, who we are",Wambui Wamae Kamiru,"['Civic responsibility', 'Community solidarity', 'Gender roles and feminism']"
Land without thunder,Grace Ogot,"['Climate and nature', 'Fate and free will', 'Indigenous knowledge']"
Re-membering Africa,Ngũgĩ wa Thiongʼo,"['Community solidarity', 'Oppression', 'Environmental conservation']"
Kufa kuzikana,Ken Walibora,"['Bad governance', 'Conflict in families', 'Loneliness and isolation']"
To stir the heart,Bessie Head,"['Trauma and healing', 'Conflict in families', 'Indigenous knowledge']"
The Promised Land,Grace Ogot,"['Indigenous knowledge', 'Greed', 'Religion and spirituality']"
A call at midnight,Grace Ogot,"['Justice and injustice', 'Youth and unemployment', 'Silence and voice']"
The other woman,Grace Ogot,"['Morality and ethics', 'Gender roles and feminism', 'Marriage and relationships']"
Betrayal in the city,F. D. Imbuga,"['Urbanization', 'Leadership and betrayal', 'Corruption and governance']"
The Green Cross Of Kafira,Francis Imbuga,"['Indigenous knowledge', 'Naming and symbolism', 'Ethnic diversity']"
Tracking the Scent of my Mother,Muthoni Garland,"['Naming and symbolism', 'Parent-child relationships', 'Traditional beliefs']"
Odour of Fate,Muthoni Garland,"['Naming and symbolism', 'Justice and injustice', 'Trauma and healing']"
Helicopter Beetles,Muthoni Garland,"['Good vs evil', 'Parent-child relationships', 'Morality and ethics']"
