title,author,publisher,isbn10,isbn13,language,pubdate,ol_work_key,image_url,source,description,key_isbn,key_ta,cover_i
Barrel of a pen,Ngũgĩ wa Thiong'o,New Beacon Books,,,English,1983-01-01T00:00:00Z,OL2638775W,http://books.google.com/books/content?id=Dh9yAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,barrel of a pen | ngugi wa thiong o,
Decolonising the Mind,Ngũgĩ wa Thiong'o,,,,English,1986-01-01T00:00:00Z,,http://books.google.com/books/content?id=z60udlv1F_cC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,,,decolonising the mind | ngugi wa thiong o,
Origins,Richard Leakey,,,,English,1977-01-01T00:00:00Z,OL2921842W,,wikidata,"An account of Richard Leakey's search for not only human origins, but also the origin of humanity. Since writing Origins in 1978, he has shifted his studies from the eastern to the western shore of Lake Turkana in Kenya. Richard Leakey also wrote People of the Lake and The Making of Mankind.",,origins | richard leakey,
How to be kenyan,Wahome Mutahi,"East African Educational Publishers, Kenya",,,English,2001-01-01T00:00:00Z,,http://books.google.com/books/content?id=eoiYQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"Peter Enahoro wrote a famously funny book, The Complete Nigerian, and the follow-up How to be a Nigerian. In similar mode, a Kenyan writer has produced a series of hilarious essays about what it means to be a Kenyan. Described as painfully true and outrageously witty, the book is a light-hearted illustration of the particularities of thought, manners and attitude of Kenyan people.",,how to be kenyan | wahome mutahi,
Carcase for Hounds,Meja Mwangi,,,,English,1974-01-01T00:00:00Z,,http://books.google.com/books/content?id=7H2YFi-0f0QC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,,,carcase for hounds | meja mwangi,
"Kiswahili, past, present and future horizons",Rocha Chimera,,,978-9966-846-35-8,,1998-01-01T00:00:00Z,,http://books.google.com/books/content?id=yWVkAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"Kiswahili is the fastest growing African language. The author, Professor of Kiswahili at Egerton University, here describes this growth and examines Kiswahili as an alternative to European languages in East Africa and as an international language for Africa. He covers the controversial theories of the origination and development of Kiswahili, the effects of the use of English as the language of instruction in Kenya and the status of Kiswahili in trade, religion and politics in East and Central Africa, within a continental context. A country analysis of Tanzania, Kenya and Uganda reveals the spread of Kiswahili as a mother tongue and second language; its use in creative writing and music, and its status in language policies. The argument for Kiswahili as the language of Africa is also discussed.",978-9966-846-35-8,kiswahili past present and future horizons | rocha chimera,
Coming to birth,Marjorie Oludhe Macgoye,Heinemann,,978-0-435-90670-7,English,1986-01-01T00:00:00Z,,http://books.google.com/books/content?id=ie_eDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"In this quietly powerful and eminently readable novel, winner of the prestigious Sinclair Prize, Kenyan writer Marjorie Macgoye deftly interweaves the story of one young woman’s tumultuous coming of age with the history of a nation emerging from colonialism. At the age of sixteen, Paulina leaves her small village in western Kenya to join her new husband, Martin, in the bustling city of Nairobi. It is 1956, and Kenya is in the final days of the ""Emergency,"" as the British seek to suppress violent anti-colonial revolts. But Paulina knows little about, about city life, or about marriage, and Martin’s clumsy attempts to control her soon lead to a relationship filled with silences, misunderstandings, and unfulfilled expectations. Soon Paulina’s inability to bear a child effectively banishes her from the confines of traditional women’s roles. As her country at last moves toward independence, Paulina manages to achieve a kind of independence as well: She accepts a job that will require her to live separately from her husband, and she has an affair that leads to the birth of her first child. But Paulina’s hard-won contentment will be shattered when Kenya’s turbulent history intrudes into her private life, bringing with it tragedy—and a new test of her quiet courage and determination. Paulina’s patient struggles for survival and identity are revealed through Marjorie Macgoye’s keen and sensitive vision—a vision which extends to embrace the whole of a nation and a people likewise struggling to find their way. As the Weekly Standard of Kenya notes, ""Coming to Birth is a radical novel in firmly asserting our common humanity.""",978-0-435-90670-7,coming to birth | marjorie oludhe macgoye,
"Weep Not, Child",Ngũgĩ wa Thiong'o,Heinemann,,,English,1964-01-01T00:00:00Z,OL10245W,http://books.google.com/books/content?id=QxE3cD3gAtEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The Nobel Prize–nominated Kenyan writer’s powerful first novel Two brothers, Njoroge and Kamau, stand on a garbage heap and look into their futures: Njoroge is to attend school, while Kamau will train to be a carpenter. But this is Kenya, and the times are against them: In the forests, the Mau Mau is waging war against the white government, and the two brothers and their family need to decide where their loyalties lie. For the practical Kamau, the choice is simple, but for Njoroge the scholar, the dream of progress through learning is a hard one to give up. The first East African novel published in English, Weep Not, Child explores the effects of the infamous Mau Mau uprising on the lives of ordinary men and women, and on one family in particular. For more than seventy years, Penguin has been the leading publisher of classic literature in the English-speaking world. With more than 1,700 titles, Penguin Classics represents a global bookshelf of the best works throughout history and across genres and disciplines. Readers trust the series to provide authoritative texts enhanced by introductions and notes by distinguished scholars and contemporary authors, as well as up-to-date translations by award-winning translators.",,weep not child | ngugi wa thiong o,
To Stir the Heart,Ngũgĩ wa Thiong'o,The Feminist Press,,,English,2007-06-01T00:00:00Z,OL2527684W,http://books.google.com/books/content?id=XY0UAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,to stir the heart | ngugi wa thiong o,
A Grain of Wheat,Ngũgĩ wa Thiong'o,Heinemann,,,English,1967-01-01T00:00:00Z,,http://books.google.com/books/content?id=HV6dQgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"A masterly story of myth, rebellion, love, friendship and betrayal from one of Africa's great writers, Ngugi wa Thiong'o's A Grain of Wheat includes an introduction by Abdulrazak Gurnah, author of By the Sea, in Penguin Modern Classics. It is 1963 and Kenya is on the verge of Uhuru - Independence Day. The mighty british government has been toppled, and in the lull between the fighting and the new world, colonized and colonizer alike reflect on what they have gained and lost. In the village of Thabai, the men and women who live there have been transformed irrevocably by the uprising. Kihika, legendary rebel leader, was fatally betrayed to the whiteman. Gikonyo's marriage to the beautiful Mumbi was destroyed when he was imprisoned, while her life has been shattered in other ways. And Mugo, brave survivor of the camps and now a village hero, harbours a terrible secret. As events unfold, compromises are forced, friendships are betrayed and loves are tested. Kenyan novelist and playwright Ngugi wa Thiong'o is the author of Weep Not Child (1964), The River Between (1965), and Petals of Blood (1977). Ngugi was chair of the Department of Literature at the University of Nairobi from 1972 to 1977. He left Kenya in 1982 and taught at various universities in the United States before he became professor of comparative literature and performance studies at New York University in 1992. If you enjoyed A Grain of Wheat, you might like Chinua Achebe's Things Fall Apart, also available in Penguin Modern Classics. 'With Ngugi history is a living tissue ... this book adds cubits to his already considerable stature'Guardian",,a grain of wheat | ngugi wa thiong o,
The Promised Land,Grace Emily Akinyi Ogot,"East African Educational Publishers, Kenya",,,English,2000-01-01T00:00:00Z,OL5350878W,,wikidata,,,the promised land | grace emily akinyi ogot,
My Mother's Poem and Other Songs,Micere Githae Mugo,"East African Educational Publishers, Kenya",9966-46-499-9,978-9966-46-499-6,English,1998-01-01T00:00:00Z,,http://books.google.com/books/content?id=5O_Erc2ujDQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The spirit of the poetic flowering of the 1960s is encapsulated in this comprehensive anthology. The collection gives voice to some fifty poets from Kenya, Uganda and Zambia, writing in English. The diversity of the interests and styles of the individual poets is illustrated: a blend of the gentle lyricism that is a feature of East African writing. All the major poets are included, and many not so well known. Amongst the best known are Jared Angira, Jonathan Kariara, Joseph Kariuki, Taban Lo Liyong, Okot p'Bitek, and David Rubadiri - one of the editors.",978-9966-46-499-6,my mother s poem and other songs | micere githae mugo,
THE DEAD CAME CALLING,Ndũcũ wa Ngũgĩ,"East African Educational Publishers, Kenya",,,English,2018-01-01T00:00:00Z,,,wikidata,,,the dead came calling | nducu wa ngugi,
The Audacity of Hope,Barack Obama,Crown Publishing Group,,,English,2006-10-01T00:00:00Z,OL15834647W,http://books.google.com/books/content?id=0gCIRThk-KUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,Senator Obama's vision of how we can move beyond our divisions to tackle concrete problems.,,the audacity of hope | barack obama,
The Strange Bride,Grace Emily Akinyi Ogot,"East African Educational Publishers, Kenya",,,English,,OL5350875W,http://books.google.com/books/content?id=MnSiDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Kenya’s nationalism during the colonial period was marked by two main characteristics that feature in this book. First, the struggle for independence that was mainly characterized by the claim for land that had been taken away by the colonizers. Second was the struggle for autonomy and self-determination, mainly through political resistance. The authors in this book analyse historical trajectories of Kenya's nationalism trends while highlighting the role of political leaders, large as well as small ethnic groups, perennial conflicts, community as well as religious leaders, among others. The discussions demonstrate that quest for a national identity that is inclusive at all levels – whether politically, economically, religiously and ethnically – has marked Kenya's struggle for nationalism, sometimes leading to violence, especially during election periods, national unity through political coalitions and reconciliation, as well as institutional reforms. In conclusion, the authors demonstrate that while Kenya is gradually advancing towards national cohesion, there are still many challenges yet to be surmounted.",,the strange bride | grace emily akinyi ogot,
The Big Chiefs,Meja Mwangi,Amazon Publishing,,,English,2017-06-24T00:00:00Z,OL41694514W,http://books.google.com/books/content?id=iBArAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,,,the big chiefs | meja mwangi,
Olduvai Gorge; a report on the evolution of the hand-axe culture in beds I-IV,Louis Leakey,,,,English,1951-01-01T00:00:00Z,OL2056206W,http://books.google.com/books/content?id=440TmWXToLAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"This comprehensive A to Z encyclopedia provides extensive coverage of important scientific terms related to improving our understanding of how we evolved. Specifically, the 5,000 entries in this two-volume set cover evidence and methods used to investigate the relationships among the living great apes, evidence about what makes the behavior of modern humans distinctive, and evidence about the evolutionary history of that distinctiveness, as well as information about modern methods used to trace the recent evolutionary history of modern human populations. This text provides a resource for everyone studying the emergence of Homo sapiens. Visit the companion site http://www.woodhumanevolution.com"" target=""_blank to browse additional references and updates from this comprehensive encyclopedia.",,olduvai gorge; a report on the evolution of the hand axe culture in beds i iv | louis leakey,
Slavery and the Culture of Taste,Simon Gikandi,Princeton University,,,English,2014-04-01T00:00:00Z,,http://books.google.com/books/content?id=tr8d5H-aKMUC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"It would be easy to assume that, in the eighteenth century, slavery and the culture of taste--the world of politeness, manners, and aesthetics--existed as separate and unequal domains, unrelated in the spheres of social life. But to the contrary, Slavery and the Culture of Taste demonstrates that these two areas of modernity were surprisingly entwined. Ranging across Britain, the antebellum South, and the West Indies, and examining vast archives, including portraits, period paintings, personal narratives, and diaries, Simon Gikandi illustrates how the violence and ugliness of enslavement actually shaped theories of taste, notions of beauty, and practices of high culture, and how slavery's impurity informed and haunted the rarified customs of the time. Gikandi focuses on the ways that the enslavement of Africans and the profits derived from this exploitation enabled the moment of taste in European--mainly British--life, leading to a transformation of bourgeois ideas regarding freedom and selfhood. He explores how these connections played out in the immense fortunes made in the West Indies sugar colonies, supporting the lavish lives of English barons and altering the ideals that defined middle-class subjects. Discussing how the ownership of slaves turned the American planter class into a new aristocracy, Gikandi engages with the slaves' own response to the strange interplay of modern notions of freedom and the realities of bondage, and he emphasizes the aesthetic and cultural processes developed by slaves to create spaces of freedom outside the regimen of enforced labor and truncated leisure. Through a close look at the eighteenth century's many remarkable documents and artworks, Slavery and the Culture of Taste sets forth the tensions and contradictions entangling a brutal practice and the distinctions of civility.",,slavery and the culture of taste | simon gikandi,
Mtawa Mweusi,Ngũgĩ wa Thiong'o,"East African Educational Publishers, Kenya",,,,1970-01-01T00:00:00Z,,http://books.google.com/books/content?id=vvSSzTlCOAcC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"The Swahili translation of the 1968 play plubished in English as The Black Hermit. Should Remi, the first of his tribe to go to university, return to his people from the city? Should he return to Thoni, his brother's widow, whom he has had to marry under tribal custom? Or should he continue to be a 'black hermit' in the town, visiting the night clubs with his friend, Jane? Should he be supporting the Africanist Party when people feel that the colonial oppression has just been replaced by another form? These are the dramatic conflicts in this play. Ngugi wa Thiong'o is best known internationally as a novelist as well as a playwright. He wrote ""This Time Tomorrow"" (published in African Short Stories), The Black Hermit (1968), and, with Micere Githae Mugo, The Trial of Dedan Kimathi (1976), all of which had great social and political impact. His detention without trial in 1978 was probably due to the staging of the Gikuyu play, ""Ngaahika Ndeenda"" at the Kamirithu Cultural Centre, co-authored with Ngugu wa Mirii. The play is published in English as I will Marry when I Want. Ngugi continues to strongly advocate writing in indigenous languages. His two titles - Caaitani Mutharabaini and A Grain of Wheat - were among the recipients of Africa's 100 Best Books of the 20th Century Award.",,mtawa mweusi | ngugi wa thiong o,
Q24937593,Ben Kane,,,,,2012-01-01T00:00:00Z,,,wikidata,,,q24937593 | ben kane,
Q24937606,Ben Kane,,,,,2013-01-01T00:00:00Z,,,wikidata,,,q24937606 | ben kane,
El brujo del cuervo,Ngũgĩ wa Thiong'o,Amazon Kindle,,,Spanish,2015-10-12T00:00:00Z,,http://books.google.com/books/content?id=JkGvCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"La gran novela africana por el firme candidato al premio Nobel que aprenderás a pronunciar: Ngugi wa Thiong'o. Exiliado de su Kenia natal desde hace más de veinticinco años, Ngugi wa Thiong'o, uno de los escritores africanos más importantes de la actualidad, sitúa esta historia en la imaginaria República Libre de Aburiria. El soberano, dictador inamovible, semidiós y genial estadista, ejerce su poder a capricho sobre todo un país y se regocija en la contemplación de las encarnizadas luchas entre súbditos y ministros para gozar de su favor. El pueblo, sometido a la injusticia y el terror, deberá recurrir a la subversión para tratar de derrocar desde abajo el régimen del tirano. Cualquier arma es útil. Incluso la magia. Corrosiva, humorística y terrible, esta tragicomedia se vale de la rica tradición cuentística africana para analizar con agudeza la dramática realidad poscolonial del continente. El brujo del cuervo moldea las historias de los poderosos y de la gente corriente en un mosaico deslumbrante y confirma el alcance de la sorprendente obra de Ngugi wa Thiong'o. La crítica ha dicho... «Una cáustica sátira social y política de la corrupción de la sociedad africana con un toque de realismo mágico, o, tal vez, de magia realista.» Publishers Weekly «Una magistral narración de realismo mágico sobre la historia del África del siglo XX. Indiscutiblemente: una obra maestra.» Scotland on Sunday «Ambicioso, cáustico y apasionado.» New Yorker «La fuerza de El brujo del cuervo se manifiesta en el asombroso laberinto con que comienza cada capítulo, en la ambiciosa combinación de sátira, realismo social e imaginación sobrenatural.» Harper's Magazine «Una traviesa y alucinante sátira sobre un dictador.» Sunday Times «A lo largo de su intensa trayectoria, Ngugi ha formado parte de las paradigmáticas cuestiones y dilemas del escritor africano contemporáneo, tocando la situación política, social, racial y lingüística... El relato es fantástico.» John Updike, The New Yorker",,el brujo del cuervo | ngugi wa thiong o,
Writing in Limbo,Simon Gikandi,Cornell University Press,,,English,1992-03-01T00:00:00Z,,http://books.google.com/books/content?id=9A9QDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"In Simon Gikandi’s view, Caribbean literature and postcolonial literature more generally negotiate an uneasy relationship with the concepts of modernism and modernity—a relationship in which the Caribbean writer, unable to escape a history encoded by Europe, accepts the challenge of rewriting it. Drawing on contemporary deconstructionist theory, Gikandi looks at how such Caribbean writers as George Lamming, Samuel Selvon, Alejo Carpentier, C. L. R. James, Paule Marshall, Merle Hodge, Zee Edgell, and Michelle Cliff have attempted to confront European modernism.",,writing in limbo | simon gikandi,
Q24937567,Ben Kane,,,,,2014-01-01T00:00:00Z,,,wikidata,,,q24937567 | ben kane,
Q130290748,Wangari Muta Maathai,,,,English,,,,wikidata,,,q130290748 | wangari muta maathai,
Wrestling with the Devil: A Prison Memoir,Ngũgĩ wa Thiong'o,Amazon Kindle,,,English,2018-03-06T00:00:00Z,,http://books.google.com/books/content?id=lMItDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A New York Times Editors’ Choice ""A welcome addition to the vast literature produced by jailed writers across the centuries . . . [a] thrilling testament to the human spirit."" —Ariel Dorfman, The New York Times Book Review ""Wrestling with the Devil is a powerful testament to the courage of Ngũgĩ and his fellow prisoners and validation of the hope that an independent Kenya would eventually emerge."" —Minneapolis Star Tribune ""The Ngũgĩ of Wrestling with the Devil called not just for adding a bit of color to the canon’s sagging shelf, but for abolition and upheaval."" —Bookforum An unforgettable chronicle of the year the brilliant novelist and memoirist was thrown in a Kenyan jail without charge Wrestling with the Devil, Ngũgĩ wa Thiong'o's powerful prison memoir, begins literally half an hour before his release on December 12, 1978. In one extended flashback he recalls the night, a year earlier, when armed police pulled him from his home and jailed him in Kenya's Kamĩtĩ Maximum Security Prison, one of the largest in Africa. There, he lives in a prison block with eighteen other political prisoners, quarantined from the general prison population. In a conscious effort to fight back the humiliation and the intended degradation of the spirit, Ngũgĩ—the world-renowned author of Weep Not, Child; Petals of Blood; and Wizard of the Crow—decides to write a novel on toilet paper, the only paper to which he has access, a book that will become his classic, Devil on the Cross. Written in the early 1980s and never before published in America, Wrestling with the Devil is Ngũgĩ's account of the drama and the challenges of writing the novel under twenty-four-hour surveillance. He captures not only the excruciating pain that comes from being cut off from his wife and children, but also the spirit of defiance that defines hope. Ultimately, Wrestling with the Devil is a testimony to the power of imagination to help humans break free of confinement, which is truly the story of all art.",,wrestling with the devil: a prison memoir | ngugi wa thiong o,
Globalectics: Theory and the Politics of Knowing (The Wellek Library Lectures),Ngũgĩ wa Thiong'o,Columbia University Press,0-231-15951-X,978-0-231-15951-7,English,2014-05-20T00:00:00Z,,http://books.google.com/books/content?id=dsmrAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A masterful writer working in many genres, Ngugi wa ThiongÕo entered the East African literary scene in 1962 with the performance of his first major play, The Black Hermit, at the National Theatre in Uganda. In 1977 he was imprisoned after his most controversial work, Ngaahika Ndeenda (I Will Marry When I Want), produced in Nairobi, sharply criticized the injustices of Kenyan society and unequivocally championed the causes of ordinary citizens. Following his release, Ngugi decided to write only in his native Gikuyu, communicating with Kenyans in one of the many languages of their daily lives, and today he is known as one of the most outspoken intellectuals working in postcolonial theory and the global postcolonial movement. In this volume, Ngugi wa ThiongÕo summarizes and develops a cross-section of the issues he has grappled with in his work, which deploys a strategy of imagery, language, folklore, and character to ""decolonize the mind."" Ngugi confronts the politics of language in African writing; the problem of linguistic imperialism and literature's ability to resist it; the difficult balance between orality, or ""orature,"" and writing, or ""literature""; the tension between national and world literature; and the role of the literary curriculum in both reaffirming and undermining the dominance of the Western canon. Throughout, he engages a range of philosophers and theorists writing on power and postcolonial creativity, including Hegel, Marx, Lvi-Strauss, and Aim Csaire. Yet his explorations remain grounded in his own experiences with literature (and orature) and reworks the difficult dialectics of theory into richly evocative prose.",978-0-231-15951-7,globalectics: theory and the politics of knowing (the wellek library lectures) | ngugi wa thiong o,
Nairobi Heat,Mũkoma wa Ngũgĩ,,,,English,,,http://books.google.com/books/content?id=aSrC1pMI-OEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A cop from Wisconsin pursues a killer through the terrifying slums of Nairobi and the memories of genocide IN MADISON, WISCONSIN, it’s a big deal when African peace activist Joshua Hakizimana—who saved hundreds of people from the Rwandan genocide—accepts a position at the university to teach about “genocide and testimony.” Then a young woman is found murdered on his doorstep. Local police Detective Ishmael—an African-American in an “extremely white” town—suspects the crime is racially motivated; the Ku Klux Klan still holds rallies there, after all. But then he gets a mysterious phone call: “If you want the truth, you must go to its source. The truth is in the past. Come to Nairobi.” It’s the beginning of a journey that will take him to a place still vibrating from the genocide that happened around its borders, where violence is a part of everyday life, where big-oil money rules and where the local cops shoot first and ask questions later—a place, in short, where knowing the truth about history can get you killed.",,nairobi heat | mukoma wa ngugi,
WEAPON OF HUNGER,Meja Mwangi,Amazon Kindle,,,English,2013-08-04T00:00:00Z,,http://books.google.com/books/content?id=CZG7swEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"Through fiction, the world described in Weapon of Hunger has a definite locale in the African continent held at ransom by multitudes of problems, partly self-inflicted, partly caused by the ravages of nature. In this novel Meja Mwangi brings these problems to world attention in a manner that never declines to apathy yet the skill captivates. Weapon of Hunger is an engrossing piece that takes us to this dehumanised land of want. Mwangi's treatment of the serious situation makes an unforgettable impact.",,weapon of hunger | meja mwangi,
Sulwe,Lupita Nyong'o,Simon & Schuster,,,,2019-10-15T00:00:00Z,,http://books.google.com/books/content?id=xx-wDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"A New York Times bestseller! Featured in its own episode in the Netflix original show Bookmarks: Celebrating Black Voices! Recipient of a Coretta Scott King Illustrator Honor Award Recipient of an NAACP Image Award for Outstanding Children’s Literary Work From Academy Award–winning actress Lupita Nyong’o comes a powerful, moving picture book about colorism, self-esteem, and learning that true beauty comes from within. Sulwe has skin the color of midnight. She is darker than everyone in her family. She is darker than anyone in her school. Sulwe just wants to be beautiful and bright, like her mother and sister. Then a magical journey in the night sky opens her eyes and changes everything. In this stunning debut picture book, actress Lupita Nyong’o creates a whimsical and heartwarming story to inspire children to see their own unique beauty.",,sulwe | lupita nyong o,
Things they Lost,Okwiri Oduor,,,,English,2022-01-01T00:00:00Z,OL25480392W,http://books.google.com/books/content?id=5mRkEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"This astonishing, devastating debut novel, riven through with mystery and magic, tells the story of a lonely girl living in a small African town and her struggle to free herself from her mercurial, charming mother. Ayosa is a wandering spirit--joyous, exuberant, filled to the brim with longing. Her only companions in her grandmother's crumbling house are as lonely as Ayosa herself: the ghostly Fatumas, whose eyes are the size of bay windows, who teach her to dance and wail at the death news; the Jolly-Annas, cruel birds who cover their solitude with spiteful laughter; the milkman, who never greets Ayosa and whose milk tastes of mud; and Sindano, the kind owner of a café no one ever visits. Unexpectedly, miraculously, one day Ayosa finds a friend. Yet she is always fixed on her beautiful mama, Nabumbo Promise: a mysterious and aloof photographer, she comes and goes as she pleases, with no apology or warning. Set at the intersection of the spirit world and the human one, Things They Lost is a stunning and unforgettable novel that unfurls the dizzying dualities of love, at its most intoxicating and all-encompassing.",,things they lost | okwiri oduor,
Dua ya Maarusi,Ahmad Nassir Juma Bhalo Sayyani,,,,Swahili,,,,wikidata,,,dua ya maarusi | ahmad nassir juma bhalo sayyani,
The Trial of Christopher Okigbo,Ali Mazrui,,,,English,,,http://books.google.com/books/content?id=xszlEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Written during the Nigerian-Biafran War of the late 1960s, The Trial of Christopher Okigbo boldly tackles questions of Pan-Africanism and independence - with the answers leading to blissful immortality or eternal damnation... After a fatal car accident, Hamisi wakes up in a strange land called After-Africa – an afterworld for all Africans who have died since history began. He soon finds out, however, that his position in the afterlife hangs in the balance. To be allowed to stay, Hamisi must participate in the absurd trial of the renowned poet and solider, Christopher Okigbo, who was killed on the front lines. His crime? Choosing war over his art... The Trial of Christopher Okigbo is a wondrously surreal examination into the responsibilities of art and war and their uncomfortable coexistence. '[The Trial of Christopher Okigbo is] its own best proof that important political questioning and art are not mutually exclusive.' New York Times 'Whether in speech or in writing, Mazrui dissected and unravelled Africa in a delightful manner.' Guardian",,the trial of christopher okigbo | ali mazrui,
Mau Mau From Within: The Story of the Kenya Land and Freedom Army,Ngũgĩ wa Thiong'o,Daraja Press,1-988832-59-4,978-1-988832-59-3,English,2021-01-16T00:00:00Z,,http://books.google.com/books/content?id=S2fwEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"As a part of Routledge Research in Postcolonial Literature, the book explores the complex of ways in which Ngugi wa Thiong’o wrestles with issues of nationalism and ethnicity through his politically subversive and creatively intense literary texts. His novels and plays are fraught with his anxiety, resistance, and defiance concerning Gikuyu ethnicity, Kenyan nationalism, and a curious, globalectic imaginary. In this way, the book re- appreciates Ngugi offering scholarly insights into the present debates over identity politics as well as aesthetics that animate contemporary research in postcolonial studies, world literature, and African studies across the globe.",978-1-988832-59-3,mau mau from within: the story of the kenya land and freedom army | ngugi wa thiong o,
Ngugi wa Thiong'o's drama and the kamiriithu popular theater experiment,Ngũgĩ wa Thiong'o,Africa World Press,,,English,2007-01-01T00:00:00Z,,http://books.google.com/books/content?id=llWEAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"Provides context and depth to Ngugi wa Thiong'o's long-praised though little-understood work in Gikuyu political and community theatre. With clear insights into local linguistic, cultural and historical perspectives, Ndigirigi provides scholars and non-specialists alike with a detailed understanding of not only Ngugi's theatrical work but also the much broader context of the society and culture that made up the Kamiriithu experience.Originally presented as the author's PhD thesis at the University of California, Los Angeles, 1998.",,ngugi wa thiong o s drama and the kamiriithu popular theater experiment | ngugi wa thiong o,
Foundational African Writers,Simon Gikandi,Wits University Press,,,,2022-01-01T00:00:00Z,,http://books.google.com/books/content?id=tNtJEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"This collection explores the complexities of black existence, and intellectual and cultural life in the work and legacies of centenarian writers, Peter Abrahams, Noni Jabavu, Sibusiso Cyril Lincoln Nyembezi and Es’kia Mphahlele",,foundational african writers | simon gikandi,
Christmas Without Tusker,Meja Mwangi,,,,English,2017-07-05T00:00:00Z,OL40716351W,http://books.google.com/books/content?id=4urMwAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,wikidata,"CHRISTMAS WITHOUT TUSKER When their women close the bars and force them to spend Christmas at home, Kambi men realise they have made a big mistake allowing women to run the traditionally male-controlled bar business. There is anxiety and disaffection, as the townsmen men prepare to confront the unthinkable, a tusker-free Christmas. In this novel Meja Mwangi revives Kambi market's hard men, and their harder women, and the characters that made ""Baba Pesa"" such a fun read. Mwangi's keen eye for the drama and humor in everyday life shines through his work.",,christmas without tusker | meja mwangi,
In the Name of the Mother: Reflections on Writers and Empire,Ngũgĩ wa Thiong'o,James Currey,,,English,2013-09-19T00:00:00Z,,http://books.google.com/books/content?id=h6oTAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,wikidata,"Alongside the impact of his early novels and plays, and his more recent memoirs, these essays give new insights into Ngugi's and other writers' responses to colonialism - there is new material here for students of literature, politics and culture.Renowned worldwide, as novelist and dramatist, Ngugi wa Thiongo's contributions to the body of critical writing on African literature, politics and society have been highly significant. His best known critical work is Decolonising the Mind, which since publication in 1986 has profoundly influenced other writers, critics, scholars and students. These latest essays reflect Ngugi's continuing interests and enthusiasms. His choice of writers is original. He makes us look again at their novels to address his lifelong concerns with the ways to independence, the meanings of colonialism and the takeover by neo-colonialism, and the functions of literature in political as well asliterary terms. They will appeal not only to his international band of supporters. They will also introduce his views to young people discovering African and Caribbean literature. Ngugi wa Thiong'o is Distinguished Professor of English and Comparative Literature at the University of California, Irvine. Ngugi is renowned for his essays, including the seminal Decolonising the Mind (James Currey 1986); his plays, which led to his detentionin Kenya; his novels - the most recent works being The Wizard of the Crow (2007, translated into English from Gikuyu) and his memoirs Dreams in a Time of War and In the House of the Interpreter East Africa [Kenya, Tanzania, Uganda and Rwanda]: EAEP",,in the name of the mother: reflections on writers and empire | ngugi wa thiong o,
