title,author,theme_name
Tax & development,Attiya Waris,Poverty
Tax & development,Attiya Waris,Post-independence struggles
Financing Africa,Attiya Waris,Greed
Financing Africa,Attiya Waris,Poverty
Financing Africa,Attiya Waris,Bad governance
Taxation and state building in Kenya,Attiya Waris,Wealth and materialism
Taxation and state building in Kenya,Attiya Waris,Bad governance
Taxation and state building in Kenya,Attiya Waris,Greed
"Tax Justice and the Political Economy of Global Capitalism, 1945 to the Present",Jeremy Leaman,Bad governance
"Tax Justice and the Political Economy of Global Capitalism, 1945 to the Present",Jeremy Leaman,Generosity
"Tax Justice and the Political Economy of Global Capitalism, 1945 to the Present",Jeremy Leaman,Oppression
Das Leben kommt immer dazwischen,Auma Obama,Identity crisis
Das Leben kommt immer dazwischen,Auma Obama,Environmental conservation
Das Leben kommt immer dazwischen,Auma Obama,Poverty
And Then Life Happens,Auma Obama,Identity crisis
And Then Life Happens,Auma Obama,Greed
And Then Life Happens,Auma Obama,Wealth and materialism
Leidenschaft,Auma Obama,Wealth and materialism
Leidenschaft,Auma Obama,Marriage and relationships
Leidenschaft,Auma Obama,Community solidarity
Day after tomorrow,Bahadur Tejani,Bad governance
Day after tomorrow,Bahadur Tejani,Urban vs rural life
Day after tomorrow,Bahadur Tejani,Post-independence struggles
The rape of literature,Bahadur Tejani,Poverty
The rape of literature,Bahadur Tejani,Bad governance
The rape of literature,Bahadur Tejani,Storytelling as resistance
Okello's Shakespeare,Bahadur Tejani,Poverty
Okello's Shakespeare,Bahadur Tejani,Trauma and healing
Okello's Shakespeare,Bahadur Tejani,Wealth and materialism
Laughing in the face of terrorism,Bahadur Tejani,Bad governance
Laughing in the face of terrorism,Bahadur Tejani,Poverty
Laughing in the face of terrorism,Bahadur Tejani,Justice and injustice
Alnoor meets George Washington,Bahadur Tejani,Marriage and relationships
Alnoor meets George Washington,Bahadur Tejani,Post-independence struggles
Alnoor meets George Washington,Bahadur Tejani,Wealth and materialism
Obamawala,Bahadur Tejani,Bad governance
Obamawala,Bahadur Tejani,Wealth and materialism
Obamawala,Bahadur Tejani,Poverty
Spartacus,Ben Kane,Folklore and oral traditions
Spartacus,Ben Kane,Greed
Spartacus,Ben Kane,Silence and voice
The forgotten legion,Ben Kane,Folklore and oral traditions
The forgotten legion,Ben Kane,Trauma and healing
The forgotten legion,Ben Kane,Cultural heritage
Enemy of Rome,Ben Kane,Greed
Enemy of Rome,Ben Kane,Political violence
Enemy of Rome,Ben Kane,Urbanization
Hannibal,Ben Kane,Parent-child relationships
Hannibal,Ben Kane,Silence and voice
Hannibal,Ben Kane,Education and opportunity
The Silver Eagle A Novel Of The Forgotten Legion,Ben Kane,Poverty
The Silver Eagle A Novel Of The Forgotten Legion,Ben Kane,Folklore and oral traditions
The Silver Eagle A Novel Of The Forgotten Legion,Ben Kane,Indigenous knowledge
Eagles at war,Ben Kane,Colonialism and resistance
Eagles at war,Ben Kane,Love and heartbreak
Eagles at war,Ben Kane,Folklore and oral traditions
Eagles in the storm,Ben Kane,Parent-child relationships
Eagles in the storm,Ben Kane,Love and heartbreak
Eagles in the storm,Ben Kane,Good vs evil
Stormcrow,Ben Kane,Silence and voice
Stormcrow,Ben Kane,Parent-child relationships
Stormcrow,Ben Kane,Folklore and oral traditions
Clash of Empires,Ben Kane,Greed
Clash of Empires,Ben Kane,Folklore and oral traditions
Clash of Empires,Ben Kane,Hard work
Hunting the eagles,Ben Kane,Parent-child relationships
Hunting the eagles,Ben Kane,Fate and free will
Hunting the eagles,Ben Kane,Resource exploitation
Clouds of War,Ben Kane,Climate and nature
Clouds of War,Ben Kane,Folklore and oral traditions
Clouds of War,Ben Kane,Justice and injustice
The Silver Eagle,Ben Kane,Parent-child relationships
The Silver Eagle,Ben Kane,Greed
The Silver Eagle,Ben Kane,Silence and voice
A Day of Fire,E Knight,Folklore and oral traditions
A Day of Fire,E Knight,Religion and spirituality
A Day of Fire,E Knight,Greed
One day I will write about this place,Binyavanga Wainaina,Wealth and materialism
One day I will write about this place,Binyavanga Wainaina,Post-independence struggles
One day I will write about this place,Binyavanga Wainaina,Bad governance
Discovering home,Binyavanga Wainaina,Post-independence struggles
Discovering home,Binyavanga Wainaina,Climate and nature
Discovering home,Binyavanga Wainaina,Indigenous knowledge
Beyond the River Yei,Binyavanga Wainaina,Post-independence struggles
Beyond the River Yei,Binyavanga Wainaina,Urban vs rural life
Beyond the River Yei,Binyavanga Wainaina,Wealth and materialism
Kwani? 02,Binyavanga Wainaina,Wealth and materialism
Kwani? 02,Binyavanga Wainaina,Urban vs rural life
Kwani? 02,Binyavanga Wainaina,Bad governance
Kwani? 1 (Kwani?),Binyavanga Wainaina,Wealth and materialism
Kwani? 1 (Kwani?),Binyavanga Wainaina,Urban vs rural life
Kwani? 1 (Kwani?),Binyavanga Wainaina,Religion and spirituality
Andreas Herzau,Andreas Herzau,Urbanization
Andreas Herzau,Andreas Herzau,Community solidarity
Andreas Herzau,Andreas Herzau,Oppression
Nguva Na Nyoka,Binyavanga Wainaina,Wealth and materialism
Nguva Na Nyoka,Binyavanga Wainaina,Bad governance
Nguva Na Nyoka,Binyavanga Wainaina,Gender roles and feminism
Algún día escribiré sobre África,Binyavanga Wainaina,Post-independence struggles
Algún día escribiré sobre África,Binyavanga Wainaina,Wealth and materialism
Algún día escribiré sobre África,Binyavanga Wainaina,Ethnic diversity
We the women-- for peace,Aseghedech Ghirmazion,Gender roles and feminism
We the women-- for peace,Aseghedech Ghirmazion,Community solidarity
We the women-- for peace,Aseghedech Ghirmazion,Wealth and materialism
Confessions of an AIDS victim,Carolyne Adalla,Youth and unemployment
Confessions of an AIDS victim,Carolyne Adalla,Trauma and healing
Confessions of an AIDS victim,Carolyne Adalla,Identity crisis
The position of Kiswahili in Kenya,Chacha Nyaigotti-Chacha,Bad governance
The position of Kiswahili in Kenya,Chacha Nyaigotti-Chacha,Wealth and materialism
The position of Kiswahili in Kenya,Chacha Nyaigotti-Chacha,Agriculture and food security
Mke mwenza,Chacha Nyaigotti Chacha,Community solidarity
Mke mwenza,Chacha Nyaigotti Chacha,Oppression
Mke mwenza,Chacha Nyaigotti Chacha,Power of language
Ushairi wa Abdilatif Abdalla,Chacha Nyaigotti Chacha,Bad governance
Ushairi wa Abdilatif Abdalla,Chacha Nyaigotti Chacha,Cultural heritage
Ushairi wa Abdilatif Abdalla,Chacha Nyaigotti Chacha,Gender roles and feminism
Wingi jeusi,Chacha Nyaigotti Chacha,Urban vs rural life
Wingi jeusi,Chacha Nyaigotti Chacha,Language and identity
Wingi jeusi,Chacha Nyaigotti Chacha,Justice and injustice
Hukumu,Chacha Nyaigotti Chacha,Agriculture and food security
Hukumu,Chacha Nyaigotti Chacha,Silence and voice
Hukumu,Chacha Nyaigotti Chacha,Justice and injustice
Traditional medicine in Africa,Isaac Sindiga,Indigenous knowledge
Traditional medicine in Africa,Isaac Sindiga,Morality and ethics
Traditional medicine in Africa,Isaac Sindiga,Wealth and materialism
The golden feather,Charity Waciuma,Generosity
The golden feather,Charity Waciuma,Wealth and materialism
The golden feather,Charity Waciuma,Morality and ethics
Daughter of Mumbi,Charity Waciuma,Parent-child relationships
Daughter of Mumbi,Charity Waciuma,Family unity
Daughter of Mumbi,Charity Waciuma,Wealth and materialism
Merry-making,Charity Waciuma,Generosity
Merry-making,Charity Waciuma,Wealth and materialism
Merry-making,Charity Waciuma,Family unity
"Mweru, the ostrich girl",Charity Waciuma,Gender roles and feminism
"Mweru, the ostrich girl",Charity Waciuma,Generosity
"Mweru, the ostrich girl",Charity Waciuma,Wealth and materialism
Who's calling?,Charity Waciuma,Poverty
Who's calling?,Charity Waciuma,Generosity
Who's calling?,Charity Waciuma,Wealth and materialism
Kenyatta's jiggers,Charles Mangua,Ethnic diversity
Kenyatta's jiggers,Charles Mangua,Oppression
Kenyatta's jiggers,Charles Mangua,Poverty
A tail in the mouth,Charles Mangua,Hard work
A tail in the mouth,Charles Mangua,Parent-child relationships
A tail in the mouth,Charles Mangua,Storytelling as resistance
Kanina and I,Charles Mangua,Conflict in families
Kanina and I,Charles Mangua,Love and heartbreak
Kanina and I,Charles Mangua,Marriage and relationships
Son of woman in Mombasa,Charles Mangua,Parent-child relationships
Son of woman in Mombasa,Charles Mangua,Conflict in families
Son of woman in Mombasa,Charles Mangua,Marriage and relationships
tail in the mouth.,Charles Mangua,Parent-child relationships
tail in the mouth.,Charles Mangua,Silence and voice
tail in the mouth.,Charles Mangua,Storytelling as resistance
Gambling With Destiny,Daniel Kamau,Fate and free will
Gambling With Destiny,Daniel Kamau,Greed
Gambling With Destiny,Daniel Kamau,Religion and spirituality
Equatorial Assignment,David Maillu,Generosity
Equatorial Assignment,David Maillu,Climate and nature
Equatorial Assignment,David Maillu,Hard work
Inheritance,David Mulwa,Poverty
Inheritance,David Mulwa,Parent-child relationships
Inheritance,David Mulwa,Cultural heritage
Redemption,David Mulwa,Fate and free will
Redemption,David Mulwa,Poverty
Redemption,David Mulwa,Justice and injustice
Master and Servant,David Mulwa,Generosity
Master and Servant,David Mulwa,Wealth and materialism
Master and Servant,David Mulwa,Poverty
We come in peace,David Mulwa,Poverty
We come in peace,David Mulwa,Migration and diaspora
We come in peace,David Mulwa,Fate and free will
"Flee, mama flee",David Mulwa,Poverty
"Flee, mama flee",David Mulwa,Hope and despair
"Flee, mama flee",David Mulwa,Migration and diaspora
Daraja,David Mulwa,Poverty
Daraja,David Mulwa,Bad governance
Daraja,David Mulwa,Fate and free will
Mkimbizi,David Mulwa,Parent-child relationships
Mkimbizi,David Mulwa,Poverty
Mkimbizi,David Mulwa,Bad governance
Clean hands,David Mulwa,Poverty
Clean hands,David Mulwa,Bad governance
Clean hands,David Mulwa,Fate and free will
Glasshouses,David Mulwa,Urbanization
Glasshouses,David Mulwa,Loneliness and isolation
Glasshouses,David Mulwa,Cultural heritage
"Katende says ""No""",David Mulwa,Poverty
"Katende says ""No""",David Mulwa,Truth and deception
"Katende says ""No""",David Mulwa,Religion and spirituality
The flame trees of Thika,Elspeth Huxley,Climate and nature
The flame trees of Thika,Elspeth Huxley,Naming and symbolism
The flame trees of Thika,Elspeth Huxley,Marriage and relationships
On the edge of the rift,Elspeth Huxley,Land and displacement
On the edge of the rift,Elspeth Huxley,Education and opportunity
On the edge of the rift,Elspeth Huxley,Climate and nature
Murder on Safari,Elspeth Huxley,Education and opportunity
Murder on Safari,Elspeth Huxley,Morality and ethics
Murder on Safari,Elspeth Huxley,Generosity
The African poison murders,Elspeth Huxley,Storytelling as resistance
The African poison murders,Elspeth Huxley,Greed
The African poison murders,Elspeth Huxley,Poverty
White man's country,Elspeth Huxley,Poverty
White man's country,Elspeth Huxley,Storytelling as resistance
White man's country,Elspeth Huxley,Climate and nature
Out in the Midday Sun,Elspeth Huxley,Climate and nature
Out in the Midday Sun,Elspeth Huxley,Laziness
Out in the Midday Sun,Elspeth Huxley,Education and opportunity
Murder at Government House,Elspeth Huxley,Political violence
Murder at Government House,Elspeth Huxley,Leadership and betrayal
Murder at Government House,Elspeth Huxley,Education and opportunity
Four Guineas,Elspeth Huxley,Generosity
Four Guineas,Elspeth Huxley,Education and opportunity
Four Guineas,Elspeth Huxley,Greed
Scott of the Antarctic,Elspeth Huxley,Education and opportunity
Scott of the Antarctic,Elspeth Huxley,Storytelling as resistance
Scott of the Antarctic,Elspeth Huxley,Generosity
Florence Nightingale,Elspeth Huxley,Education and opportunity
Florence Nightingale,Elspeth Huxley,Generosity
Florence Nightingale,Elspeth Huxley,Storytelling as resistance
Love among the daughters,Elspeth Huxley,Education and opportunity
Love among the daughters,Elspeth Huxley,Marriage and relationships
Love among the daughters,Elspeth Huxley,Parent-child relationships
Their shining Eldorado,Elspeth Huxley,Education and opportunity
Their shining Eldorado,Elspeth Huxley,Dreams and ambitions
Their shining Eldorado,Elspeth Huxley,Marriage and relationships
Race and politics in Kenya,Elspeth Huxley,Ethnic diversity
Race and politics in Kenya,Elspeth Huxley,Poverty
Race and politics in Kenya,Elspeth Huxley,Political violence
The sorcerer's apprentice,Elspeth Huxley,Education and opportunity
The sorcerer's apprentice,Elspeth Huxley,Generosity
The sorcerer's apprentice,Elspeth Huxley,Storytelling as resistance
A man from nowhere,Elspeth Huxley,Poverty
A man from nowhere,Elspeth Huxley,Climate and nature
A man from nowhere,Elspeth Huxley,Storytelling as resistance
Gallipot Eyes,Elspeth Huxley,Education and opportunity
Gallipot Eyes,Elspeth Huxley,Generosity
Gallipot Eyes,Elspeth Huxley,Resistance and struggle
Livingstone and his African journeys,Elspeth Huxley,Oppression
Livingstone and his African journeys,Elspeth Huxley,Generosity
Livingstone and his African journeys,Elspeth Huxley,Storytelling as resistance
The walled city,Elspeth Huxley,Urbanization
The walled city,Elspeth Huxley,Education and opportunity
The walled city,Elspeth Huxley,Resistance and struggle
Nine Faces of Kenya,Elspeth Huxley,Generosity
Nine Faces of Kenya,Elspeth Huxley,Greed
Nine Faces of Kenya,Elspeth Huxley,Education and opportunity
Mihiriga ya Agikuyu,Gakaara Wanjaũ,Power of language
Mihiriga ya Agikuyu,Gakaara Wanjaũ,Urban vs rural life
Mihiriga ya Agikuyu,Gakaara Wanjaũ,Conflict in families
"Agikuyu, Mau Mau na wiyathi =",Gakaara Wanjaũ,Power of language
"Agikuyu, Mau Mau na wiyathi =",Gakaara Wanjaũ,Gender roles and feminism
"Agikuyu, Mau Mau na wiyathi =",Gakaara Wanjaũ,Wealth and materialism
Writing for Kenya,Henry Muoria,Poverty
Writing for Kenya,Henry Muoria,Wealth and materialism
Writing for Kenya,Henry Muoria,Greed
"I, the Gikuyu, and the white fury",Henry Muoria,Silence and voice
"I, the Gikuyu, and the white fury",Henry Muoria,Fate and free will
"I, the Gikuyu, and the white fury",Henry Muoria,Hope and despair
A dictionary of the Nandi language,Jane Tapsubei Creider,Indigenous knowledge
A dictionary of the Nandi language,Jane Tapsubei Creider,Language and identity
A dictionary of the Nandi language,Jane Tapsubei Creider,Power of language
The shrunken dream,Jane Tapsubei Creider,Dreams and ambitions
The shrunken dream,Jane Tapsubei Creider,Youth and unemployment
The shrunken dream,Jane Tapsubei Creider,Folklore and oral traditions
Two lives,Jane Tapsubei Creider,Urbanization
Two lives,Jane Tapsubei Creider,Civic responsibility
Two lives,Jane Tapsubei Creider,Conflict in families
Juices,Jared Angira,Greed
Juices,Jared Angira,Marriage and relationships
Juices,Jared Angira,Silence and voice
The years go by,Jared Angira,Greed
The years go by,Jared Angira,Post-independence struggles
The years go by,Jared Angira,Generational conflict
Soft corals,Jared Angira,Marriage and relationships
Soft corals,Jared Angira,Hard work
Soft corals,Jared Angira,Morality and ethics
Silent voices; poems,Jared Angira,Silence and voice
Silent voices; poems,Jared Angira,Storytelling as resistance
Silent voices; poems,Jared Angira,Folklore and oral traditions
Cascades,Jared Angira,Greed
Cascades,Jared Angira,Marriage and relationships
Cascades,Jared Angira,Fate and free will
Lament of the silent & other poems,Jared Angira,Silence and voice
Lament of the silent & other poems,Jared Angira,Mental health
Lament of the silent & other poems,Jared Angira,Conflict in families
Tides of time,Jared Angira,Fate and free will
Tides of time,Jared Angira,Greed
Tides of time,Jared Angira,Love and heartbreak
Mau Mau kizuizini ..,Josiah Mwangi Kariuki,Wealth and materialism
Mau Mau kizuizini ..,Josiah Mwangi Kariuki,Urban vs rural life
Mau Mau kizuizini ..,Josiah Mwangi Kariuki,Marriage and relationships
JM Kariuki in Parliament,Josiah Mwangi Kariuki,Urban vs rural life
JM Kariuki in Parliament,Josiah Mwangi Kariuki,Bad governance
JM Kariuki in Parliament,Josiah Mwangi Kariuki,Trauma and healing
mau mau detainee ,josiah mwangi kariuki,Trauma and healing
mau mau detainee ,josiah mwangi kariuki,Wealth and materialism
mau mau detainee ,josiah mwangi kariuki,Urban vs rural life
Child of happy valley,Juanita Carberry,Parent-child relationships
Child of happy valley,Juanita Carberry,Conflict in families
Child of happy valley,Juanita Carberry,Marriage and relationships
Letzte Tage in Kenia. Meine Kindheit in Afrika.,Juanita Carberry,Urban vs rural life
Letzte Tage in Kenia. Meine Kindheit in Afrika.,Juanita Carberry,Oppression
Letzte Tage in Kenia. Meine Kindheit in Afrika.,Juanita Carberry,Wealth and materialism
Invisible,Kevin Mwachiro,Loneliness and isolation
Invisible,Kevin Mwachiro,Silence and voice
Invisible,Kevin Mwachiro,Love and heartbreak
Boldly queer,Theo Sandfort,Gender roles and feminism
Boldly queer,Theo Sandfort,Dreams and ambitions
Boldly queer,Theo Sandfort,Greed
The House of Rust,Khadija Abdalla Bajaber,Wealth and materialism
The House of Rust,Khadija Abdalla Bajaber,Indigenous knowledge
The House of Rust,Khadija Abdalla Bajaber,Conflict in families
Of pawns and players,Kinyanjui Kombani,Folklore and oral traditions
Of pawns and players,Kinyanjui Kombani,Greed
Of pawns and players,Kinyanjui Kombani,Urban vs rural life
The last villains of Molo,Kinyanjui Kombani,Urban vs rural life
The last villains of Molo,Kinyanjui Kombani,Folklore and oral traditions
The last villains of Molo,Kinyanjui Kombani,Justice and injustice
We can be friends,Kinyanjui Kombani,Community solidarity
We can be friends,Kinyanjui Kombani,Urban vs rural life
We can be friends,Kinyanjui Kombani,Migration and diaspora
Kifo kisimani,Kithaka wa Mberia,Wealth and materialism
Kifo kisimani,Kithaka wa Mberia,Religion and spirituality
Kifo kisimani,Kithaka wa Mberia,Bad governance
Bara jingine,Kithaka wa Mberia.,Bad governance
Bara jingine,Kithaka wa Mberia.,Urban vs rural life
Bara jingine,Kithaka wa Mberia.,Wealth and materialism
Flowers in the morning sun,Kithaka wa Mberia,Naming and symbolism
Flowers in the morning sun,Kithaka wa Mberia,Wealth and materialism
Flowers in the morning sun,Kithaka wa Mberia,Climate and nature
Mchezo wa karata,Kithaka wa Mberia.,Wealth and materialism
Mchezo wa karata,Kithaka wa Mberia.,Community solidarity
Mchezo wa karata,Kithaka wa Mberia.,Bad governance
Death at the well,Kithaka wa Mberia,Trauma and healing
Death at the well,Kithaka wa Mberia,Bad governance
Death at the well,Kithaka wa Mberia,Cultural heritage
Msimu wa tisa,Kithaka wa Mberia.,Power of language
Msimu wa tisa,Kithaka wa Mberia.,Community solidarity
Msimu wa tisa,Kithaka wa Mberia.,Wealth and materialism
Natala,Kithaka wa Mberia.,Wealth and materialism
Natala,Kithaka wa Mberia.,Urban vs rural life
Natala,Kithaka wa Mberia.,Bad governance
Maua kwenye jua la asubuhi,Kithaka wa Mberia.,Bad governance
Maua kwenye jua la asubuhi,Kithaka wa Mberia.,Wealth and materialism
Maua kwenye jua la asubuhi,Kithaka wa Mberia.,Power of language
A game of cards,Kithaka wa Mberia,Greed
A game of cards,Kithaka wa Mberia,Generosity
A game of cards,Kithaka wa Mberia,Cultural heritage
Another continent,Kithaka wa Mberia,Wealth and materialism
Another continent,Kithaka wa Mberia,Migration and diaspora
Another continent,Kithaka wa Mberia,Post-independence struggles
Redio na mwezi,Kithaka wa Mberia.,Power of language
Redio na mwezi,Kithaka wa Mberia.,Community solidarity
Redio na mwezi,Kithaka wa Mberia.,Wealth and materialism
I refuse to die,Koigi wa Wamwere.,Civic responsibility
I refuse to die,Koigi wa Wamwere.,Hope and despair
I refuse to die,Koigi wa Wamwere.,Religion and spirituality
A woman reborn,Koigi wa Wamwere.,Civic responsibility
A woman reborn,Koigi wa Wamwere.,Wealth and materialism
A woman reborn,Koigi wa Wamwere.,Gender roles and feminism
"The people's representative and the tyrants, or, Kenya, independence without freedom",Koigi wa Wamwere.,Oppression
"The people's representative and the tyrants, or, Kenya, independence without freedom",Koigi wa Wamwere.,Bad governance
"The people's representative and the tyrants, or, Kenya, independence without freedom",Koigi wa Wamwere.,Wealth and materialism
Towards genocide in Kenya,Koigi wa Wamwere.,Oppression
Towards genocide in Kenya,Koigi wa Wamwere.,Political violence
Towards genocide in Kenya,Koigi wa Wamwere.,Wealth and materialism
Conscience on Trial: Why I Was Detained,Koigi Wa Wamwere,Oppression
Conscience on Trial: Why I Was Detained,Koigi Wa Wamwere,Civic responsibility
Conscience on Trial: Why I Was Detained,Koigi Wa Wamwere,Morality and ethics
Negative Ethnicity,Koigi Wa Wamwere,Ethnic diversity
Negative Ethnicity,Koigi Wa Wamwere,Oppression
Negative Ethnicity,Koigi Wa Wamwere,Poverty
Justice on trial,Koigi wa Wamwere.,Justice and injustice
Justice on trial,Koigi wa Wamwere.,Civic responsibility
Justice on trial,Koigi wa Wamwere.,Political violence
Etnisitetsbomben,Koigi wa Wamwere.,Resource exploitation
Etnisitetsbomben,Koigi wa Wamwere.,Environmental conservation
Etnisitetsbomben,Koigi wa Wamwere.,Wealth and materialism
Kenya,Koigi wa Wamwere,Wealth and materialism
Kenya,Koigi wa Wamwere,Environmental conservation
Kenya,Koigi wa Wamwere,Civic responsibility
Dream of freedom,Koigi wa Wamwere.,Civic responsibility
Dream of freedom,Koigi wa Wamwere.,Oppression
Dream of freedom,Koigi wa Wamwere.,Post-independence struggles
Hjertets tårer,Koigi wa Wamwere.,Environmental conservation
Hjertets tårer,Koigi wa Wamwere.,Loneliness and isolation
Hjertets tårer,Koigi wa Wamwere.,Civic responsibility
The Pretoria conspiracy,Lily Mabura,Generosity
The Pretoria conspiracy,Lily Mabura,Political violence
The Pretoria conspiracy,Lily Mabura,Dreams and ambitions
"Ali, the little suntan",Lily Mabura,Morality and ethics
"Ali, the little suntan",Lily Mabura,Wealth and materialism
"Ali, the little suntan",Lily Mabura,Naming and symbolism
Saleh Kanta and the cavaliers,Lily Mabura,Silence and voice
Saleh Kanta and the cavaliers,Lily Mabura,Hard work
Saleh Kanta and the cavaliers,Lily Mabura,Marriage and relationships
Remembrance,Lily Mabura,Wealth and materialism
Remembrance,Lily Mabura,Naming and symbolism
Remembrance,Lily Mabura,Generosity
How Shall We Kill The Bishop And Other Stories,Lily Mabura,Morality and ethics
How Shall We Kill The Bishop And Other Stories,Lily Mabura,Naming and symbolism
How Shall We Kill The Bishop And Other Stories,Lily Mabura,Trauma and healing
Favour the Game Changer,Lucy Natasha,Fate and free will
Favour the Game Changer,Lucy Natasha,Silence and voice
Favour the Game Changer,Lucy Natasha,Generosity
Every Problem Has an Expiry Date!,Lucy Natasha,Hard work
Every Problem Has an Expiry Date!,Lucy Natasha,Identity crisis
Every Problem Has an Expiry Date!,Lucy Natasha,Mental health
Before You Say I Do,Lucy Natasha,Silence and voice
Before You Say I Do,Lucy Natasha,Fate and free will
Before You Say I Do,Lucy Natasha,Power of language
Gods Leading Lady,Rev. Lucy Natasha,Wealth and materialism
Gods Leading Lady,Rev. Lucy Natasha,Fate and free will
Gods Leading Lady,Rev. Lucy Natasha,Naming and symbolism
Touching Heaven Through Prayer,Rev Lucy Natasha,Religion and spirituality
Touching Heaven Through Prayer,Rev Lucy Natasha,Wealth and materialism
Touching Heaven Through Prayer,Rev Lucy Natasha,Fate and free will
A girl cannot go on laughing all the time,Magaga Alot,Parent-child relationships
A girl cannot go on laughing all the time,Magaga Alot,Mental health
A girl cannot go on laughing all the time,Magaga Alot,Youth and unemployment
People and communication in Kenya,Magaga Alot,Bad governance
People and communication in Kenya,Magaga Alot,Ethnic diversity
People and communication in Kenya,Magaga Alot,Wealth and materialism
Heat of the moment,Magaga Alot,Parent-child relationships
Heat of the moment,Magaga Alot,Power of language
Heat of the moment,Magaga Alot,Identity crisis
Daughter of state,Magaga Alot,Parent-child relationships
Daughter of state,Magaga Alot,Bad governance
Daughter of state,Magaga Alot,Conflict in families
East African integration,Magaga Alot,Ethnic diversity
East African integration,Magaga Alot,Oppression
East African integration,Magaga Alot,Poverty
Caine Prize for African Writing 2018,Olufunke Ogundimu,Greed
Caine Prize for African Writing 2018,Olufunke Ogundimu,Generosity
Caine Prize for African Writing 2018,Olufunke Ogundimu,Oppression
The Year’s Best African Speculative Fiction 2021,Oghenechovwe Donald Ekpeki,Wealth and materialism
The Year’s Best African Speculative Fiction 2021,Oghenechovwe Donald Ekpeki,Greed
The Year’s Best African Speculative Fiction 2021,Oghenechovwe Donald Ekpeki,Folklore and oral traditions
The Year’s Best African Speculative Fiction 2023,Oghenechovwe Donald Ekpeki,Wealth and materialism
The Year’s Best African Speculative Fiction 2023,Oghenechovwe Donald Ekpeki,Greed
The Year’s Best African Speculative Fiction 2023,Oghenechovwe Donald Ekpeki,Folklore and oral traditions
The present moment,Marjorie Oludhe Macgoye,Conflict in families
The present moment,Marjorie Oludhe Macgoye,Identity crisis
The present moment,Marjorie Oludhe Macgoye,Generosity
Homing in,Marjorie Oludhe Macgoye,Generosity
Homing in,Marjorie Oludhe Macgoye,Conflict in families
Homing in,Marjorie Oludhe Macgoye,Education and opportunity
Chira,Marjorie Oludhe Macgoye,Conflict in families
Chira,Marjorie Oludhe Macgoye,Silence and voice
Chira,Marjorie Oludhe Macgoye,Poverty
The composition of poetry,Marjorie Oludhe Macgoye,Conflict in families
The composition of poetry,Marjorie Oludhe Macgoye,Indigenous knowledge
The composition of poetry,Marjorie Oludhe Macgoye,Storytelling as resistance
Creative writing in prose,Marjorie Oludhe Macgoye,Storytelling as resistance
Creative writing in prose,Marjorie Oludhe Macgoye,Indigenous knowledge
Creative writing in prose,Marjorie Oludhe Macgoye,Dreams and ambitions
Growing up at Lina School,Marjorie Oludhe Macgoye,Education and opportunity
Growing up at Lina School,Marjorie Oludhe Macgoye,Parent-child relationships
Growing up at Lina School,Marjorie Oludhe Macgoye,Conflict in families
Victoria and Murder in Majengo,Marjorie Oludhe Macgoye,Oppression
Victoria and Murder in Majengo,Marjorie Oludhe Macgoye,Identity crisis
Victoria and Murder in Majengo,Marjorie Oludhe Macgoye,Conflict in families
Rebmann,Marjorie Oludhe Macgoye,Conflict in families
Rebmann,Marjorie Oludhe Macgoye,Identity crisis
Rebmann,Marjorie Oludhe Macgoye,Generosity
The story of Kenya,Marjorie Oludhe MacGoye,Poverty
The story of Kenya,Marjorie Oludhe MacGoye,Bad governance
The story of Kenya,Marjorie Oludhe MacGoye,Generosity
Murder in Majengo,Marjorie Oludhe Macgoye,Conflict in families
Murder in Majengo,Marjorie Oludhe Macgoye,Poverty
Murder in Majengo,Marjorie Oludhe Macgoye,Identity crisis
Song of Nyarloka and other poems,Marjorie Oludhe Macgoye,Indigenous knowledge
Song of Nyarloka and other poems,Marjorie Oludhe Macgoye,Marriage and relationships
Song of Nyarloka and other poems,Marjorie Oludhe Macgoye,Dreams and ambitions
"The Black Hand Gang (Junior Readers Series, 40)",Marjorie Oludhe Macgoye,Storytelling as resistance
"The Black Hand Gang (Junior Readers Series, 40)",Marjorie Oludhe Macgoye,Bad governance
"The Black Hand Gang (Junior Readers Series, 40)",Marjorie Oludhe Macgoye,Poverty
A farm called Kishinev,Marjorie Oludhe Macgoye,Agriculture and food security
A farm called Kishinev,Marjorie Oludhe Macgoye,Conflict in families
A farm called Kishinev,Marjorie Oludhe Macgoye,Poverty
Make it sing & other poems,Marjorie Oludhe Macgoye,Silence and voice
Make it sing & other poems,Marjorie Oludhe Macgoye,Dreams and ambitions
Make it sing & other poems,Marjorie Oludhe Macgoye,Conflict in families
The silent twins,Marjorie Wallace,Silence and voice
The silent twins,Marjorie Wallace,Parent-child relationships
The silent twins,Marjorie Wallace,Education and opportunity
Campaign and be damned,Marjorie Wallace,Silence and voice
Campaign and be damned,Marjorie Wallace,Greed
Campaign and be damned,Marjorie Wallace,Fate and free will
On giant's shoulders,Marjorie Wallace,Parent-child relationships
On giant's shoulders,Marjorie Wallace,Hard work
On giant's shoulders,Marjorie Wallace,Education and opportunity
Schizophrenia 1992,Marjorie Wallace,Mental health
Schizophrenia 1992,Marjorie Wallace,Parent-child relationships
Schizophrenia 1992,Marjorie Wallace,Silence and voice
Whose mind is it anyway?,Marjorie Wallace,Mental health
Whose mind is it anyway?,Marjorie Wallace,Selfishness
